#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Seahawks,,231,309,524,59,2752,5.3,8.9,16,28,156,44,298,61
2,Saints,,304,304,507,60,3105,6.1,10.2,20,12,168,49,336,81
3,Texans,,428,287,484,59.3,3123,6.5,10.9,29,7,158,32,187,92
4,Bills,,388,310,561,55.3,3271,5.8,10.6,28,23,170,56,395,72
5,Bengals,,305,362,614,59,3344,5.4,9.2,22,20,178,43,279,72
6,Panthers,,241,375,563,66.6,3429,6.1,9.1,17,20,178,60,424,78
7,49ers,,272,345,585,59,3536,6,10.2,19,18,181,38,283,74
8,Browns,,406,363,605,60,3538,5.8,9.7,29,14,197,40,185,83
9,Steelers,,370,329,569,57.8,3546,6.2,10.8,21,10,174,34,205,81
10,Giants,,383,361,601,60.1,3573,5.9,9.9,21,17,198,34,214,77
11,Titans,,381,344,545,63.1,3612,6.6,10.5,15,13,191,36,227,82
12,Ravens,,352,314,552,56.9,3681,6.7,11.7,25,16,176,40,257,80
13,Colts,,336,324,536,60.4,3711,6.9,11.5,21,15,191,42,248,83
14,Cardinals,,324,367,625,58.7,3728,6,10.2,29,20,208,47,337,78
15,Bears,,478,315,507,62.1,3730,7.4,11.8,25,19,184,31,189,85
16,Dolphins,,335,344,580,59.3,3752,6.5,10.9,17,18,192,42,272,75
17,Buccaneers,,389,352,547,64.4,3806,7,10.8,30,21,190,35,255,87
18,Patriots,,338,336,589,57,3824,6.5,11.4,25,17,208,48,313,79
19,Rams,,364,355,521,68.1,3874,7.4,10.9,21,14,203,53,326,92
20,Commanders,,478,337,514,65.6,3896,7.6,11.6,29,16,204,36,238,94
21,Falcons,,443,341,516,66.1,3897,7.6,11.4,31,10,196,32,231,101
22,Jets,,387,345,586,58.9,3947,6.7,11.4,26,13,198,41,242,85
23,Lions,,376,338,572,59.1,3950,6.9,11.7,24,15,197,33,249,83
24,Packers,,428,332,539,61.6,3956,7.3,11.9,30,11,190,44,238,94
25,Jaguars,,449,354,551,64.2,3962,7.2,11.2,29,11,200,31,225,95
26,Chiefs,,305,334,592,56.4,3962,6.7,11.9,25,21,189,47,309,76
27,Broncos,,399,357,613,58.2,4070,6.6,11.4,29,17,208,41,290,82
28,Raiders,,453,374,549,68.1,4092,7.5,10.9,33,9,202,38,260,103
29,Chargers,,348,364,548,66.4,4139,7.6,11.4,23,11,208,35,248,95
30,Cowboys,,432,403,623,64.7,4589,7.4,11.4,33,15,231,34,246,94
31,Vikings,,480,420,649,64.7,4591,7.1,10.9,37,12,247,42,279,97
32,Eagles,,382,408,670,60.9,4636,6.9,11.4,25,19,239,37,271,82
