#,TEAM,PTS/G,TOTAL PTS,ATT,YDS,YDS/ATT,TD,1ST,TOP
,,22.8,365,494,2634,5.3,22,131,30:35
2,Jaguars,25.7,411,522,2391,4.6,18,127,32:08
3,Steelers,24.6,393,511,2168,4.2,9,108,33:29
4,Giants,23.3,373,469,2148,4.6,15,119,31:22
5,Titans,18.8,301,543,2109,3.9,17,118,32:53
6,Raiders,17.7,283,508,2086,4.1,11,111,31:27
7,Chargers,25.8,412,485,2039,4.2,19,104,30:04
8,Eagles,21,336,421,1974,4.7,13,118,31:56
9,Broncos,20,320,429,1957,4.6,10,96,30:35
10,Browns,25.1,402,440,1895,4.3,13,110,30:31
11,Buccaneers,20.9,334,449,1872,4.2,15,98,30:27
12,Commanders,20.9,334,498,1871,3.8,15,103,31:11
13,Patriots,36.8,589,451,1849,4.1,17,124,33:35
14,Panthers,16.7,267,451,1824,4,7,85,29:44
15,Bills,15.8,252,448,1800,4,8,91,29:51
16,Ravens,17.2,275,446,1797,4,11,96,31:10
17,Cowboys,28.4,455,419,1746,4.2,14,83,31:34
18,Colts,28.1,450,446,1706,3.8,19,119,30:49
19,Jets,16.8,268,446,1701,3.8,6,92,29:07
20,Seahawks,24.6,393,430,1619,3.8,9,93,30:59
21,Packers,27.2,435,388,1597,4.1,13,69,30:19
22,Texans,23.7,379,417,1586,3.8,12,96,30:41
23,Dolphins,16.7,267,389,1569,4,14,107,29:28
24,Bengals,23.8,380,416,1556,3.7,10,81,29:24
25,Rams,16.4,263,404,1527,3.8,5,65,30:08
26,Falcons,16.2,259,385,1520,3.9,7,73,29:43
27,49ers,13.7,219,357,1477,4.1,8,65,27:08
28,Saints,23.7,379,392,1466,3.7,14,94,31:09
29,Cardinals,25.2,404,402,1440,3.6,9,70,31:39
30,Bears,20.9,334,423,1330,3.1,8,74,28:29
31,Lions,21.6,346,324,1288,4,13,73,28:43
32,Chiefs,14.1,226,383,1248,3.3,6,66,30:02
