#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Buccaneers,,270,297,490,60.6,2725,5.6,9.2,18,16,158,33,210,74
2,Colts,,262,325,498,65.3,2764,5.6,8.5,16,22,162,28,162,72
3,Steelers,,269,292,536,54.5,2824,5.3,9.7,22,11,158,36,243,75
4,Dolphins,,437,242,409,59.2,3019,7.4,12.5,28,14,165,30,167,91
5,Chiefs,,335,276,462,59.7,3022,6.5,10.9,17,14,156,37,252,79
6,Patriots,,274,314,526,59.7,3041,5.8,9.7,23,19,172,47,340,75
7,Broncos,,409,279,458,60.9,3094,6.8,11.1,25,14,168,33,203,86
8,Raiders,,398,261,439,59.5,3132,7.1,12,17,18,156,27,186,77
9,Jets,,355,289,470,61.5,3154,6.7,10.9,18,15,174,29,208,81
10,Titans,,297,349,569,61.3,3187,5.6,9.1,21,22,165,40,241,73
11,Giants,,351,306,523,58.5,3317,6.3,10.8,24,15,185,53,349,81
12,Packers,,291,295,534,55.2,3366,6.3,11.4,23,19,176,36,218,74
13,Cowboys,,325,342,581,58.9,3409,5.9,10,19,19,195,46,319,73
14,Chargers,,284,338,555,60.9,3412,6.1,10.1,20,30,185,42,272,68
15,Jaguars,,304,319,543,58.7,3416,6.3,10.7,20,20,181,37,244,74
16,Commanders,,310,351,602,58.3,3424,5.7,9.8,20,14,174,33,198,76
17,Panthers,,347,337,537,62.8,3426,6.4,10.2,22,14,174,23,177,84
18,Eagles,,300,312,539,57.9,3449,6.4,11.1,16,11,177,37,244,78
19,Seahawks,,291,333,568,58.6,3505,6.2,10.5,15,20,183,45,303,71
20,Ravens,,384,293,490,59.8,3557,7.3,12.1,27,17,162,32,183,86
21,Rams,,438,318,523,60.8,3613,6.9,11.4,25,18,190,31,234,83
22,49ers,,364,345,543,63.5,3643,6.7,10.6,24,12,187,31,183,89
23,Falcons,,414,336,536,62.7,3655,6.8,10.9,27,16,190,25,146,87
24,Browns,,382,340,578,58.8,3681,6.4,10.8,29,17,211,28,186,82
25,Texans,,384,361,546,66.1,3682,6.7,10.2,25,11,197,31,196,92
26,Bengals,,385,353,540,65.4,3687,6.8,10.4,29,19,200,22,128,88
27,Bears,,348,343,541,63.4,3708,6.9,10.8,19,16,185,41,245,83
28,Cardinals,,399,361,570,63.3,3716,6.5,10.3,26,18,185,36,242,84
29,Bills,,354,354,567,62.4,3814,6.7,10.8,19,18,203,26,144,80
30,Saints,,388,327,524,62.4,3924,7.5,12,32,13,196,32,198,95
31,Lions,,444,422,602,70.1,4131,6.9,9.8,32,17,221,37,256,95
32,Vikings,,311,415,646,64.2,4225,6.5,10.2,22,15,222,38,275,85
