#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
1,Buccaneers,24.8,396,408,625,65.3,5125,8.2,12.6,36,26,265,41,,93
2,Steelers,26.8,428,459,689,66.6,5008,7.3,10.9,35,17,251,24,,95
3,Chiefs,35.3,565,385,583,66,4955,8.5,12.9,50,12,239,26,,113
4,Falcons,25.9,414,428,617,69.4,4653,7.5,10.9,36,7,238,42,,106
5,Rams,32.9,527,368,568,64.8,4507,7.9,12.2,32,12,236,33,,99
6,Colts,27.1,433,432,644,67.1,4461,6.9,10.3,39,15,237,18,,97
7,Eagles,22.9,367,422,599,70.5,4275,7.1,10.1,29,11,221,40,,99
8,Patriots,27.2,436,378,574,65.9,4258,7.4,11.3,29,11,206,21,,97
9,Packers,23.5,376,392,640,61.2,4238,6.6,10.8,25,4,208,53,,91
10,Chargers,26.8,428,348,512,68,4089,8,11.8,32,12,213,34,,103
11,Giants,23.1,369,382,583,65.5,4047,6.9,10.6,23,12,208,47,,90
12,Saints,31.5,504,381,519,73.4,4042,7.8,10.6,33,7,210,20,,111
13,Vikings,22.5,360,425,606,70.1,4036,6.7,9.5,30,10,218,40,,98
14,Browns,22.4,359,353,574,61.5,4007,7,11.4,29,17,189,38,,87
15,49ers,21.4,342,331,532,62.2,3867,7.3,11.7,26,20,201,48,,85
16,Panthers,23.5,376,378,563,67.1,3836,6.8,10.1,28,16,212,32,,91
17,Texans,25.1,402,345,506,68.2,3781,7.5,11,26,9,202,62,,100
18,Raiders,18.1,290,382,556,68.7,3751,6.7,9.8,19,10,197,52,,91
19,Broncos,20.6,329,367,588,62.4,3695,6.3,10.1,19,15,181,34,,80
20,Lions,20.2,324,375,574,65.3,3576,6.2,9.5,22,12,201,41,,87
21,Bears,26.3,421,344,512,67.2,3564,7,10.4,28,14,177,33,,94
22,Ravens,24.3,389,334,556,60.1,3558,6.4,10.7,18,9,184,32,,83
23,Cowboys,21.2,339,356,527,67.6,3537,6.7,9.9,22,8,184,56,,94
24,Bengals,23,368,331,542,61.1,3290,6.1,9.9,27,13,182,37,,85
25,Jets,20.8,333,299,524,57.1,3165,6,10.6,18,19,157,37,,71
26,Jaguars,15.3,245,329,536,61.4,3109,5.8,9.4,15,13,164,53,,77
27,Seahawks,26.8,428,280,427,65.6,3093,7.2,11,35,7,156,51,,107
28,Commanders,17.6,281,311,509,61.1,3021,5.9,9.7,16,15,156,44,,76
29,Titans,19.4,310,293,437,67,2975,6.8,10.2,16,12,156,47,,87
30,Dolphins,19.9,319,292,455,64.2,2900,6.4,9.9,26,13,153,52,,89
31,Bills,16.8,269,271,499,54.3,2794,5.6,10.3,13,23,137,41,,60
32,Cardinals,14.1,225,283,495,57.2,2523,5.1,8.9,15,18,137,52,,66
