#,TEAM,,TOTAL PTS,ATT,YDS,YDS/ATT,TD,1ST,TOP
,Vikings,,327,348,985,2.8,9,53,29:37
2,Ravens,,201,367,1214,3.3,5,59,27:12
3,Steelers,,315,408,1412,3.5,9,72,29:03
4,Jaguars,,274,420,1460,3.5,14,94,28:52
5,Patriots,,237,388,1507,3.9,11,67,28:25
6,Bears,,255,402,1590,4,7,77,30:47
7,Chargers,,303,386,1613,4.2,13,87,28:21
8,Dolphins,,283,461,1618,3.5,7,72,30:59
9,Falcons,,328,442,1657,3.7,14,97,30:25
10,Cowboys,,350,429,1659,3.9,12,88,29:58
11,Panthers,,305,449,1737,3.9,10,96,30:02
12,Broncos,,305,447,1813,4.1,13,97,31:44
13,Packers,,366,441,1825,4.1,13,95,29:15
14,Giants,,362,458,1830,4,19,106,31:48
15,Bengals,,331,448,1863,4.2,15,109,31:29
16,Cardinals,,389,458,1897,4.1,16,114,30:01
17,Buccaneers,,353,497,1917,3.9,11,108,32:17
18,Chiefs,,315,461,1928,4.2,14,109,30:18
19,49ers,,412,473,1936,4.1,18,107,32:49
20,Texans,,366,446,1956,4.4,16,115,31:53
21,Lions,,398,492,2010,4.1,18,111,32:19
22,Seahawks,,341,441,2029,4.6,12,102,30:12
23,Saints,,322,418,2063,4.9,10,96,28:07
24,Jets,,295,453,2084,4.6,14,111,29:57
25,Raiders,,332,542,2144,4,15,107,32:47
26,Eagles,,328,489,2182,4.5,13,126,32:45
27,Commanders,,376,492,2197,4.5,9,104,30:17
28,Bills,,311,476,2254,4.7,14,117,32:56
29,Browns,,356,514,2275,4.4,14,107,31:54
30,Titans,,400,506,2313,4.6,20,121,33:51
31,Rams,,381,477,2327,4.9,21,121,29:04
32,Colts,,360,519,2768,5.3,20,150,30:28
