#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Raiders,,332,245,410,59.8,2413,5.9,9.8,17,18,137,34,218,72
2,Colts,,360,266,415,64.1,2548,6.1,9.6,16,15,150,25,157,79
3,Saints,,322,267,474,56.3,2854,6,10.7,26,11,148,38,268,83
4,Panthers,,305,291,500,58.2,3000,6,10.3,22,14,149,41,265,79
5,Dolphins,,283,279,497,56.1,3007,6.1,10.8,22,8,166,47,268,82
6,Ravens,,201,279,509,54.8,3011,5.9,10.8,16,28,151,60,418,60
7,Bills,,311,324,513,63.2,3019,5.9,9.3,18,13,168,40,265,80
8,Rams,,381,266,451,59,3035,6.7,11.4,21,17,164,34,214,79
9,Eagles,,328,309,525,58.9,3067,5.8,9.9,17,19,154,40,300,71
10,Jaguars,,274,294,523,56.2,3078,5.9,10.5,12,20,143,35,200,65
11,Bears,,255,328,581,56.5,3116,5.4,9.5,18,24,159,40,272,65
12,Patriots,,237,294,518,56.8,3203,6.2,10.9,10,22,164,44,281,64
13,Chargers,,303,307,538,57.1,3212,6,10.5,19,16,178,61,351,74
14,Jets,,295,316,532,59.4,3222,6.1,10.2,19,16,181,35,230,76
15,Browns,,356,283,499,56.7,3242,6.5,11.5,20,18,178,28,137,75
16,Seahawks,,341,299,504,59.3,3256,6.5,10.9,23,12,160,41,282,84
17,Packers,,366,286,515,55.5,3309,6.4,11.6,25,23,169,46,337,73
18,Chiefs,,315,314,506,62.1,3334,6.6,10.6,18,15,171,32,190,81
19,Buccaneers,,353,301,493,61.1,3354,6.8,11.1,26,11,174,25,166,90
20,Steelers,,315,319,529,60.3,3393,6.4,10.6,21,20,176,39,226,77
21,Broncos,,305,327,538,60.8,3410,6.3,10.4,13,17,183,35,202,74
22,Texans,,366,328,505,65,3444,6.8,10.5,22,11,174,28,191,90
23,Commanders,,376,289,486,59.5,3491,7.2,12.1,30,6,169,19,95,97
24,Cowboys,,350,301,511,58.9,3506,6.9,11.6,25,18,179,34,223,81
25,Lions,,398,339,511,66.3,3520,6.9,10.4,22,12,183,30,201,91
26,49ers,,412,331,518,63.9,3571,6.9,10.8,25,14,189,34,246,89
27,Titans,,400,335,530,63.2,3602,6.8,10.8,24,17,181,26,148,85
28,Giants,,362,333,567,58.7,3649,6.4,11,21,17,189,32,181,78
29,Falcons,,328,321,515,62.3,3668,7.1,11.4,20,12,183,37,235,87
30,Cardinals,,389,321,522,61.5,3694,7.1,11.5,21,16,186,38,238,83
31,Bengals,,331,349,555,62.9,3818,6.9,10.9,24,19,206,35,211,83
32,Vikings,,327,355,599,59.3,3818,6.4,10.8,15,21,192,30,197,72
