#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
1,Saints,25.5,408,460,667,69,4970,7.5,10.8,32,12,247,32,,99
2,Cardinals,30.6,489,353,562,62.8,4616,8.2,13.1,35,13,237,27,,100
3,Steelers,26.4,423,391,590,66.3,4603,7.8,11.8,26,21,207,33,,90
4,Chargers,20,320,442,667,66.3,4591,6.9,10.4,30,13,230,40,,93
5,Patriots,29.1,465,404,629,64.2,4587,7.3,11.4,36,7,229,38,,100
6,Falcons,21.2,339,410,621,66,4379,7.1,10.7,21,17,230,32,,86
7,Giants,26.2,420,392,623,62.9,4343,7,11.1,36,14,208,27,,93
8,Ravens,20.5,328,426,676,63,4271,6.3,10,21,21,211,24,,78
9,Lions,22.4,358,420,632,66.5,4212,6.7,10,33,14,236,44,,93
10,Jaguars,23.5,376,355,607,58.5,4108,6.8,11.6,35,18,215,51,,86
11,Commanders,24.2,388,386,555,69.5,4095,7.4,10.6,30,11,208,27,,101
12,Eagles,23.6,377,405,623,65,4087,6.6,10.1,23,18,193,37,,84
13,Jets,24.2,387,362,604,59.9,4057,6.7,11.2,33,16,210,22,,87
14,Broncos,22.2,355,368,606,60.7,3970,6.6,10.8,19,23,201,39,,75
15,Bengals,26.2,419,334,505,66.1,3923,7.8,11.7,31,9,191,32,,103
16,Raiders,22.4,359,373,605,61.7,3879,6.4,10.4,34,14,193,33,,89
17,Buccaneers,21.4,342,312,535,58.3,3852,7.2,12.3,22,15,201,27,,83
18,Texans,21.2,339,358,619,57.8,3833,6.2,10.7,29,12,210,36,,84
19,Dolphins,19.4,310,365,588,62.1,3811,6.5,10.4,24,12,194,45,,86
20,Seahawks,26.4,423,333,489,68.1,3790,7.8,11.4,34,8,190,46,,107
21,Browns,17.4,278,371,609,60.9,3782,6.2,10.2,20,12,192,53,,81
22,Colts,20.8,333,355,619,57.4,3704,6,10.4,26,19,195,37,,76
23,Bears,20.9,335,334,523,63.9,3660,7,11,21,12,177,34,,88
24,Panthers,31.2,500,300,501,59.9,3589,7.2,12,35,10,197,33,,97
25,Packers,23,368,348,573,60.7,3503,6.1,10.1,31,8,173,47,,90
26,Titans,18.7,299,342,551,62.1,3503,6.4,10.2,25,17,195,54,,83
27,Cowboys,17.2,275,334,528,63.3,3471,6.6,10.4,16,22,175,33,,75
28,Bills,23.7,379,295,465,63.4,3343,7.2,11.3,23,9,155,42,,93
29,49ers,14.9,238,322,526,61.2,3316,6.3,10.3,16,12,154,53,,80
30,Chiefs,25.3,405,310,473,65.5,3255,6.9,10.5,20,7,155,46,,93
31,Vikings,22.8,365,294,454,64.8,2928,6.4,10,14,9,153,45,,85
32,Rams,17.5,280,273,473,57.7,2805,5.9,10.3,11,11,126,18,,73
