#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
1,Browns,,362,307,535,57.4,2800,5.2,9.1,23,18,136,49,349,72
2,Jets,,355,313,522,60,2861,5.5,9.1,19,17,150,48,321,73
3,Panthers,,416,309,481,64.2,2916,6.1,9.4,19,8,162,27,193,87
4,Chiefs,,294,340,556,61.2,3001,5.4,8.8,19,8,169,57,351,81
5,Cowboys,,315,308,509,60.5,3185,6.3,10.3,21,17,166,46,296,78
6,Ravens,,280,384,634,60.6,3263,5.1,8.5,18,18,175,60,454,72
7,Bills,,311,363,552,65.8,3342,6.1,9.2,18,18,183,54,334,79
8,Falcons,,373,340,549,61.9,3449,6.3,10.1,24,8,183,42,258,88
9,Packers,,350,342,523,65.4,3515,6.7,10.3,21,7,189,45,288,92
10,Saints,,327,333,558,59.7,3524,6.3,10.6,22,18,167,34,244,78
11,Patriots,,366,370,575,64.3,3543,6.2,9.6,19,10,181,36,248,85
12,Raiders,,331,376,564,66.7,3610,6.4,9.6,21,13,187,46,290,87
13,Cardinals,,455,347,506,68.6,3613,7.1,10.4,32,11,198,33,233,101
14,49ers,,298,410,621,66,3642,5.9,8.9,20,22,190,48,307,78
15,Dolphins,,391,380,568,66.9,3761,6.6,9.9,27,15,186,56,371,90
16,Colts,,415,370,568,65.1,3842,6.8,10.4,21,15,192,51,315,86
17,Steelers,,324,348,573,60.7,3860,6.7,11.1,23,16,186,47,304,83
18,Titans,,367,387,571,67.8,3866,6.8,10,20,6,189,45,315,94
19,Giants,,407,371,582,63.7,3898,6.7,10.5,21,18,191,34,259,82
20,Rams,,377,367,604,60.8,3928,6.5,10.7,24,10,193,41,267,86
21,Seahawks,,402,390,585,66.7,3961,6.8,10.2,21,11,202,47,298,90
22,Broncos,,413,382,572,66.8,3972,6.9,10.4,29,11,201,42,330,96
23,Texans,,353,382,565,67.6,3979,7,10.4,17,14,185,46,355,87
24,Vikings,,362,426,606,70.3,3986,6.6,9.4,23,11,208,43,302,93
25,Bears,,379,410,617,66.5,4043,6.6,9.9,31,22,196,30,202,87
26,Jaguars,,371,404,617,65.5,4076,6.6,10.1,27,16,198,40,279,88
27,Lions,,395,371,588,63.1,4205,7.2,11.3,28,16,209,41,357,89
28,Bengals,,384,364,555,65.6,4223,7.6,11.6,23,17,201,44,257,89
29,Buccaneers,,325,404,611,66.1,4232,6.9,10.5,23,13,213,48,336,90
30,Chargers,,398,389,598,65.1,4246,7.1,10.9,26,9,203,48,334,94
31,Eagles,,428,425,652,65.2,4296,6.6,10.1,35,9,222,43,255,96
32,Commanders,,518,396,598,66.2,4457,7.5,11.3,39,8,218,39,170,104
