#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
1,Buccaneers,30.1,511,492,731,67.3,5229,7.2,10.6,43,12,273,23,,101
2,Cowboys,31.2,530,444,647,68.6,4800,7.4,10.8,40,11,248,33,,104
3,Chargers,27.9,474,443,674,65.7,4800,7.1,10.8,38,15,256,31,,96
4,Chiefs,28.2,480,448,675,66.4,4791,7.1,10.7,37,13,267,28,,97
5,Rams,27.1,460,406,607,66.9,4642,7.6,11.4,41,18,233,31,,100
6,Raiders,22,374,429,628,68.3,4567,7.3,10.6,23,14,217,40,,92
7,Bengals,27.1,460,384,555,69.2,4403,7.9,11.5,36,14,208,55,,104
8,Packers,26.5,450,402,593,67.8,4315,7.3,10.7,39,7,235,33,,106
9,Bills,28.4,483,415,655,63.4,4284,6.5,10.3,36,16,236,27,,90
10,Cardinals,26.4,449,415,591,70.2,4276,7.2,10.3,27,11,214,39,,98
11,Vikings,25,425,398,604,65.9,4238,7,10.6,34,7,202,30,,100
12,49ers,25.1,427,343,514,66.7,4221,8.2,12.3,26,14,200,33,,97
13,Ravens,22.8,387,396,611,64.8,3961,6.5,10,21,18,209,57,,82
14,Patriots,27.2,462,364,535,68,3857,7.2,10.6,24,13,187,28,,94
15,Steelers,20.2,343,425,664,64,3778,5.7,8.9,23,11,204,38,,84
16,Falcons,18.4,313,377,573,65.8,3713,6.5,9.8,20,15,196,40,,85
17,Dolphins,20.1,341,404,615,65.7,3651,5.9,9,21,14,206,40,,83
18,Lions,19.1,325,396,593,66.8,3598,6.1,9.1,23,14,193,36,,86
19,Broncos,19.7,335,354,541,65.4,3593,6.6,10.1,20,9,179,40,,90
20,Jets,18.2,310,357,603,59.2,3541,5.9,9.9,20,20,195,53,,73
21,Commanders,19.7,335,356,550,64.7,3441,6.3,9.7,21,15,181,43,,83
22,Jaguars,14.9,253,361,604,59.8,3436,5.7,9.5,12,17,178,32,,70
23,Seahawks,23.2,395,324,495,65.5,3432,6.9,10.6,30,7,166,46,,100
24,Titans,24.6,419,359,535,67.1,3418,6.4,9.5,22,14,194,47,,87
25,Eagles,26.1,444,307,494,62.1,3404,6.9,11.1,20,10,167,31,,88
26,Colts,26.5,451,324,521,62.2,3361,6.5,10.4,27,8,167,32,,92
27,Browns,20.5,349,320,520,61.5,3320,6.4,10.4,21,14,177,49,,82
28,Texans,16.5,280,354,546,64.8,3305,6.1,9.3,21,15,162,44,,83
29,Panthers,17.9,304,348,599,58.1,3239,5.4,9.3,14,21,174,52,,66
30,Bears,18.3,311,332,542,61.3,3207,5.9,9.7,16,20,180,58,,72
31,Giants,15.2,258,351,593,59.2,3196,5.4,9.1,15,20,171,38,,68
32,Saints,21.4,364,293,504,58.1,3186,6.3,10.9,29,13,165,37,,85
