#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Raiders,28.1,450,418,619,67.5,4475,7.2,10.7,26,10,226,36,,96
2,Rams,19.8,316,408,635,64.3,4154,6.5,10.2,24,27,219,46,,78
3,Seahawks,22.2,355,361,587,61.5,4078,6.9,11.3,19,16,208,33,,82
4,Colts,21.8,349,392,591,66.3,4055,6.9,10.3,27,19,213,23,,88
5,Bills,23.7,379,377,612,61.6,3995,6.5,10.6,24,15,218,54,,83
6,Giants,20,320,338,549,61.6,3951,7.2,11.7,19,14,195,24,,84
7,Steelers,24.4,390,350,551,63.5,3832,7,10.9,26,22,200,34,,83
8,Broncos,24.5,392,359,554,64.8,3824,6.9,10.7,21,20,199,46,,82
9,Vikings,24.4,390,337,558,60.4,3685,6.6,10.9,19,23,191,49,,74
10,Packers,24.9,398,361,580,62.2,3627,6.3,10,29,16,197,27,,85
11,Chiefs,29.2,467,292,477,61.2,3622,7.6,12.4,27,13,179,26,,92
12,Patriots,23.8,381,374,605,61.8,3577,5.9,9.6,28,14,184,31,,84
13,Bengals,17.4,279,350,591,59.2,3476,5.9,9.9,17,22,186,37,,70
14,49ers,22.9,367,354,571,62,3457,6.1,9.8,23,10,182,22,,85
15,Buccaneers,21.6,346,348,567,61.4,3445,6.1,9.9,23,10,172,41,,85
16,Saints,27,432,291,538,54.1,3441,6.4,11.8,27,15,169,37,,79
17,Jets,22.4,359,329,485,67.8,3418,7,10.4,25,10,190,32,,97
18,Browns,21.5,344,338,552,61.2,3412,6.2,10.1,27,22,171,35,,79
19,Eagles,25.9,415,318,548,58,3384,6.2,10.6,27,11,164,36,,84
20,Titans,22.9,367,306,500,61.2,3320,6.6,10.8,22,15,182,21,,83
21,Commanders,19.2,307,300,559,53.7,3254,5.8,10.8,24,20,165,38,,70
22,Chargers,20.8,333,324,538,60.2,3188,5.9,9.8,17,16,166,24,,75
23,Falcons,25.1,402,268,479,55.9,3167,6.6,11.8,18,12,163,36,,78
24,Bears,17.6,281,310,543,57.1,3051,5.6,9.8,22,18,156,44,,73
25,Lions,19.1,306,277,577,48,2994,5.2,10.8,19,25,150,20,,57
26,Dolphins,23.6,378,271,455,59.6,2890,6.4,10.7,18,15,155,25,,78
27,Ravens,19.8,316,262,479,54.7,2847,5.9,10.9,20,14,145,41,,74
28,Jaguars,20.5,328,268,462,58,2762,6,10.3,18,9,156,42,,80
29,Cardinals,16.4,262,291,548,53.1,2740,5,9.4,18,22,148,41,,61
30,Panthers,16.1,258,255,464,55,2694,5.8,10.6,15,22,133,44,,63
31,Cowboys,13.6,217,252,471,53.5,2621,5.6,10.4,14,16,129,54,,66
32,Texans,13.3,213,235,447,52.6,2225,5,9.5,11,15,119,76,,61
