#,TEAM,,TOTAL PTS,ATT,YDS,YDS/ATT,TD,1ST,TOP
,Packers,,297,371,1333,3.6,5,68,27:57
2,Vikings,,312,357,1394,3.9,5,63,28:30
3,Steelers,,324,372,1438,3.9,7,70,28:21
4,Cowboys,,250,365,1448,4,7,74,28:08
5,Ravens,,261,435,1492,3.4,8,82,31:58
6,49ers,,281,426,1552,3.6,12,77,30:14
7,Bengals,,291,399,1573,3.9,12,95,28:27
8,Jets,,236,420,1578,3.8,12,87,29:39
9,Eagles,,337,413,1675,4.1,11,81,32:46
10,Falcons,,325,433,1711,4,10,89,30:21
11,Texans,,333,396,1711,4.3,17,91,28:06
12,Titans,,402,402,1711,4.3,16,89,32:49
13,Patriots,,285,398,1768,4.4,6,80,27:13
14,Giants,,427,423,1773,4.2,21,103,29:33
15,Seahawks,,390,428,1776,4.1,17,80,32:29
16,Commanders,,336,449,1799,4,10,85,31:24
17,Cardinals,,325,402,1804,4.5,13,81,30:08
18,Dolphins,,390,435,1835,4.2,16,88,28:13
19,Jaguars,,380,458,1863,4.1,12,100,30:06
20,Chargers,,320,422,1884,4.5,10,112,30:02
21,Saints,,341,435,1955,4.5,19,111,29:14
22,Panthers,,308,450,1997,4.4,15,109,30:47
23,Bears,,375,467,2022,4.3,14,105,32:45
24,Colts,,307,467,2024,4.3,10,106,32:20
25,Lions,,494,458,2025,4.4,18,95,31:03
26,Broncos,,324,458,2059,4.5,11,99,30:06
27,Rams,,436,500,2201,4.4,24,127,31:16
28,Browns,,375,506,2314,4.6,15,120,32:02
29,Raiders,,379,548,2488,4.5,24,126,32:42
30,Bills,,326,535,2501,4.7,19,134,33:34
31,Chiefs,,424,531,2504,4.7,18,122,33:49
32,Buccaneers,,400,529,2531,4.8,16,129,32:42
