#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,,,304,247,436,56.7,2579,5.9,10.4,21,16,131,45,264,75
2,Dolphins,,354,244,434,56.2,2592,6,10.6,20,15,139,36,223,75
3,Bills,,284,261,486,53.7,2624,5.4,10.1,20,24,150,45,319,62
4,Steelers,,251,269,484,55.6,2835,5.9,10.5,14,19,146,41,225,66
5,Browns,,390,277,460,60.2,2901,6.3,10.5,17,15,144,32,190,77
6,Broncos,,304,272,484,56.2,2947,6.1,10.8,17,12,130,38,266,76
7,Commanders,,265,294,515,57.1,2977,5.8,10.1,17,18,153,40,245,70
8,Giants,,347,292,467,62.5,3030,6.5,10.4,28,14,170,40,250,89
9,Cardinals,,322,271,505,53.7,3036,6,11.2,18,15,153,38,229,71
10,Ravens,,268,276,501,55.1,3122,6.2,11.3,14,21,158,39,264,66
11,Rams,,392,292,492,59.3,3174,6.5,10.9,24,6,172,34,241,90
12,Eagles,,260,334,550,60.7,3212,5.8,9.6,16,17,165,47,263,74
13,Bengals,,372,313,520,60.2,3303,6.4,10.6,23,20,158,37,257,77
14,Jets,,261,289,497,58.1,3312,6.7,11.5,21,19,169,37,220,76
15,Bears,,331,287,515,55.7,3340,6.5,11.6,23,17,165,35,173,77
16,Jaguars,,280,306,497,61.6,3357,6.8,11,18,16,181,37,217,80
17,Patriots,,260,315,538,58.6,3400,6.3,10.8,18,20,177,45,311,73
18,Panthers,,339,303,513,59.1,3478,6.8,11.5,18,26,177,34,225,70
19,49ers,,452,308,490,62.9,3486,7.1,11.3,27,9,179,29,194,95
20,Lions,,350,328,535,61.3,3514,6.6,10.7,29,14,167,38,222,88
21,Cowboys,,405,310,502,61.8,3521,7,11.4,31,13,180,33,197,93
22,Falcons,,337,328,517,63.4,3526,6.8,10.8,19,19,183,48,312,80
23,Seahawks,,373,340,559,60.8,3590,6.4,10.6,24,23,191,36,218,77
24,Texans,,339,344,530,64.9,3615,6.8,10.5,32,22,194,24,161,87
25,Packers,,380,314,518,60.6,3663,7.1,11.7,33,8,181,40,280,97
26,Titans,,439,333,524,63.5,3807,7.3,11.4,29,18,189,32,220,89
27,Saints,,405,324,545,59.4,3888,7.1,12,24,13,193,37,207,86
28,Colts,,351,364,557,65.4,3892,7,10.7,26,19,209,45,340,87
29,Vikings,,395,338,544,62.1,3896,7.2,11.5,30,11,220,39,234,94
30,Raiders,,442,315,510,61.8,3924,7.7,12.5,30,9,210,25,182,98
31,Chargers,,313,372,607,61.3,4053,6.7,10.9,19,23,200,29,142,76
32,Chiefs,,435,312,522,59.8,4203,8.1,13.5,32,13,190,41,250,96
