#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Cardinals,19.4,311,419,670,62.5,4437,6.6,10.6,21,21,224,45,,79
2,Patriots,23.7,379,352,564,62.4,4120,7.3,11.7,28,15,204,28,,90
3,Colts,27.4,439,347,515,67.4,4096,8,11.8,31,11,217,20,,103
4,Rams,22.7,363,392,599,65.4,4036,6.7,10.3,23,24,209,46,,81
5,Bengals,26.3,421,362,538,67.3,3820,7.1,10.6,32,14,203,21,,97
6,Chiefs,25.2,403,317,507,62.5,3810,7.5,12,17,10,182,32,,88
7,Packers,18.6,298,383,626,61.2,3766,6,9.8,20,30,206,27,,69
8,Eagles,19.4,310,337,620,54.4,3677,5.9,10.9,21,20,182,42,,70
9,Titans,18.7,299,358,594,60.3,3597,6.1,10,20,14,191,31,,79
10,Raiders,18.1,290,316,591,53.5,3582,6.1,11.3,21,14,189,45,,74
11,Giants,26.4,422,294,558,52.7,3578,6.4,12.2,24,17,172,28,,74
12,Chargers,26.1,418,338,526,64.3,3495,6.6,10.3,27,16,191,31,,88
13,Seahawks,28.2,452,307,474,64.8,3458,7.3,11.3,25,10,192,27,,95
14,Saints,14.7,235,308,553,55.7,3343,6,10.9,15,24,182,41,,65
15,Cowboys,20.3,325,300,500,60,3341,6.7,11.1,23,17,177,50,,81
16,Dolphins,19.9,318,291,556,52.3,3300,5.9,11.3,22,16,159,26,,72
17,Panthers,24.4,391,269,449,59.9,3271,7.3,12.2,25,16,157,28,,86
18,Broncos,24.7,395,279,465,60,3227,6.9,11.6,18,7,162,23,,88
19,Jaguars,22.6,361,283,487,58.1,3190,6.6,11.3,21,6,170,32,,87
20,Vikings,19.1,306,323,510,63.3,3146,6.2,9.7,18,16,169,54,,79
21,Commanders,22.4,359,278,481,57.8,3106,6.5,11.2,25,11,166,31,,85
22,Ravens,16.6,265,335,562,59.6,3088,5.5,9.2,17,21,163,42,,69
23,Browns,14.5,232,297,497,59.8,3047,6.1,10.3,15,17,149,46,,73
24,Steelers,24.3,389,228,379,60.2,2926,7.7,12.8,21,14,144,32,,87
25,Buccaneers,18.8,300,303,487,62.2,2890,5.9,9.5,17,14,161,41,,78
26,Lions,15.9,254,297,520,57.1,2848,5.5,9.6,15,18,151,31,,68
27,Falcons,21.9,351,247,451,54.8,2679,5.9,10.8,19,13,149,39,,75
28,Jets,15,240,268,470,57,2642,5.6,9.9,11,15,146,53,,68
29,Bills,16.9,271,269,459,58.6,2515,5.5,9.3,18,16,129,43,,72
30,Texans,16.2,260,270,449,60.1,2237,5,8.3,15,13,142,68,,72
31,Bears,16.2,260,219,418,52.4,2002,4.8,9.1,11,15,111,31,,60
32,49ers,14.9,239,204,389,52.4,1898,4.9,9.3,8,21,96,48,,50
