#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Packers,,344,252,430,58.6,2680,6.2,10.6,22,10,143,35,196,84
2,Jets,,355,284,463,61.3,2755,6,9.7,17,21,151,30,193,71
3,Saints,,398,241,418,57.7,2849,6.8,11.8,20,10,145,25,165,85
4,Browns,,301,279,471,59.2,2867,6.1,10.3,19,15,161,23,142,77
5,Bears,,202,313,550,56.9,2872,5.2,9.2,10,24,153,41,275,59
6,Buccaneers,,274,275,476,57.8,2929,6.2,10.7,15,17,148,36,229,71
7,Jaguars,,269,285,482,59.1,2946,6.1,10.3,22,19,158,47,277,76
8,Ravens,,299,296,525,56.4,2958,5.6,10,18,11,161,42,270,75
9,Panthers,,259,305,528,57.8,3057,5.8,10,15,23,160,45,294,66
10,Commanders,,293,291,535,54.4,3081,5.8,10.6,15,16,158,35,237,68
11,Cowboys,,308,271,495,54.7,3083,6.2,11.4,18,15,150,37,236,73
12,Cardinals,,387,301,488,61.7,3097,6.3,10.3,17,15,158,37,217,79
13,Lions,,345,295,487,60.6,3118,6.4,10.6,19,19,166,31,187,76
14,Falcons,,341,320,526,60.8,3137,6,9.8,18,16,167,37,257,76
15,Colts,,247,343,509,67.4,3151,6.2,9.2,17,18,163,46,318,80
16,Steelers,,258,315,549,57.4,3168,5.8,10.1,15,15,179,47,312,72
17,Titans,,421,296,470,63,3216,6.8,10.9,33,9,180,41,246,98
18,Raiders,,383,296,486,60.9,3243,6.7,11,18,5,165,36,238,89
19,Bills,,367,314,503,62.4,3291,6.5,10.5,19,17,169,38,269,80
20,Dolphins,,317,323,549,58.8,3307,6,10.2,23,14,183,49,375,80
21,Eagles,,388,297,503,59,3323,6.6,11.2,24,17,171,29,184,81
22,Vikings,,344,319,533,59.8,3332,6.3,10.4,23,24,177,34,207,74
23,Rams,,429,314,507,61.9,3424,6.8,10.9,26,13,178,41,195,88
24,Texans,,431,304,469,64.8,3521,7.5,11.6,24,7,188,37,206,98
25,Seahawks,,271,331,571,58,3559,6.2,10.8,18,16,194,50,302,75
26,Bengals,,350,324,519,62.4,3569,6.9,11,21,31,185,28,180,71
27,Giants,,314,329,580,56.7,3584,6.2,10.9,20,17,189,41,268,74
28,Chargers,,312,338,567,59.6,3599,6.3,10.6,20,10,189,46,289,83
29,Broncos,,258,344,613,56.1,3643,5.9,10.6,20,20,183,28,190,71
30,Chiefs,,325,325,559,58.1,3679,6.6,11.3,25,16,189,29,183,81
31,Patriots,,338,296,527,56.2,3703,7,12.5,25,10,179,33,223,86
32,49ers,,428,374,576,64.9,4427,7.7,11.8,28,16,205,28,193,93
