Start Year,End Year,Scaling,Regularization,Alpha,Features Removed,MSE,R-Squared,Accuracy,Model Name
2023,2023,False,lasso,0.01,False,88.03892174344284,0.10004213387138217,64.56,model_2023_2023_unscaled_lasso_0.01_features_included
2022,2023,False,lasso,0.01,False,88.03892174344284,0.10004213387138217,64.56,model_2022_2023_unscaled_lasso_0.01_features_included
2019,2023,False,lasso,0.01,False,88.03892174344284,0.10004213387138217,64.56,model_2019_2023_unscaled_lasso_0.01_features_included
2014,2023,False,lasso,0.01,False,88.03892174344284,0.10004213387138217,64.56,model_2014_2023_unscaled_lasso_0.01_features_included
2023,2023,False,ridge,1.0,False,89.45282069493881,0.08558887322130415,64.56,model_2023_2023_unscaled_ridge_1_features_included
2022,2023,False,ridge,1.0,False,89.45282069493881,0.08558887322130415,64.56,model_2022_2023_unscaled_ridge_1_features_included
2019,2023,False,ridge,1.0,False,89.45282069493881,0.08558887322130415,64.56,model_2019_2023_unscaled_ridge_1_features_included
2014,2023,False,ridge,1.0,False,89.45282069493881,0.08558887322130415,64.56,model_2014_2023_unscaled_ridge_1_features_included
2023,2023,False,lasso,10.0,False,79.48203282246602,0.18751298587094634,64.21,model_2023_2023_unscaled_lasso_10_features_included
2022,2023,False,lasso,10.0,False,79.48203282246602,0.18751298587094634,64.21,model_2022_2023_unscaled_lasso_10_features_included
2019,2023,False,lasso,10.0,False,79.48203282246602,0.18751298587094634,64.21,model_2019_2023_unscaled_lasso_10_features_included
2014,2023,False,lasso,10.0,False,79.48203282246602,0.18751298587094634,64.21,model_2014_2023_unscaled_lasso_10_features_included
2023,2023,True,elasticnet,1.0,False,80.38368039608001,0.17829609849567452,64.21,model_2023_2023_scaled_elasticnet_1_features_included
2022,2023,True,elasticnet,1.0,False,80.38368039608001,0.17829609849567452,64.21,model_2022_2023_scaled_elasticnet_1_features_included
2019,2023,True,elasticnet,1.0,False,80.38368039608001,0.17829609849567452,64.21,model_2019_2023_scaled_elasticnet_1_features_included
2014,2023,True,elasticnet,1.0,False,80.38368039608001,0.17829609849567452,64.21,model_2014_2023_scaled_elasticnet_1_features_included
2023,2023,True,elasticnet,0.1,False,82.83370505482515,0.153251278316343,64.21,model_2023_2023_scaled_elasticnet_0.1_features_included
2022,2023,True,elasticnet,0.1,False,82.83370505482515,0.153251278316343,64.21,model_2022_2023_scaled_elasticnet_0.1_features_included
2019,2023,True,elasticnet,0.1,False,82.83370505482515,0.153251278316343,64.21,model_2019_2023_scaled_elasticnet_0.1_features_included
2014,2023,True,elasticnet,0.1,False,82.83370505482515,0.153251278316343,64.21,model_2014_2023_scaled_elasticnet_0.1_features_included
2023,2023,False,ridge,0.1,False,93.27413234819917,0.046526383436361174,64.21,model_2023_2023_unscaled_ridge_0.1_features_included
2022,2023,False,ridge,0.1,False,93.27413234819917,0.046526383436361174,64.21,model_2022_2023_unscaled_ridge_0.1_features_included
2019,2023,False,ridge,0.1,False,93.27413234819917,0.046526383436361174,64.21,model_2019_2023_unscaled_ridge_0.1_features_included
2014,2023,False,ridge,0.1,False,93.27413234819917,0.046526383436361174,64.21,model_2014_2023_unscaled_ridge_0.1_features_included
2023,2023,False,,,True,98.02251481892696,-0.0020128770553995423,64.21,model_2023_2023_unscaled_none_0_features_removed
2022,2023,False,,,True,98.02251481892696,-0.0020128770553995423,64.21,model_2022_2023_unscaled_none_0_features_removed
2019,2023,False,,,True,98.02251481892696,-0.0020128770553995423,64.21,model_2019_2023_unscaled_none_0_features_removed
2014,2023,False,,,True,98.02251481892696,-0.0020128770553995423,64.21,model_2014_2023_unscaled_none_0_features_removed
2023,2023,True,ridge,100.0,False,83.0391208593197,0.1511514619462524,63.86,model_2023_2023_scaled_ridge_100_features_included
2022,2023,True,ridge,100.0,False,83.0391208593197,0.1511514619462524,63.86,model_2022_2023_scaled_ridge_100_features_included
2019,2023,True,ridge,100.0,False,83.0391208593197,0.1511514619462524,63.86,model_2019_2023_scaled_ridge_100_features_included
2014,2023,True,ridge,100.0,False,83.0391208593197,0.1511514619462524,63.86,model_2014_2023_scaled_ridge_100_features_included
2023,2023,True,elasticnet,0.1,True,85.50705001541863,0.1259236171124436,63.86,model_2023_2023_scaled_elasticnet_0.1_features_removed
2022,2023,True,elasticnet,0.1,True,85.50705001541863,0.1259236171124436,63.86,model_2022_2023_scaled_elasticnet_0.1_features_removed
2019,2023,True,elasticnet,0.1,True,85.50705001541863,0.1259236171124436,63.86,model_2019_2023_scaled_elasticnet_0.1_features_removed
2014,2023,True,elasticnet,0.1,True,85.50705001541863,0.1259236171124436,63.86,model_2014_2023_scaled_elasticnet_0.1_features_removed
2023,2023,False,ridge,100.0,False,85.78376270811611,0.12309498450860012,63.86,model_2023_2023_unscaled_ridge_100_features_included
2022,2023,False,ridge,100.0,False,85.78376270811611,0.12309498450860012,63.86,model_2022_2023_unscaled_ridge_100_features_included
2019,2023,False,ridge,100.0,False,85.78376270811611,0.12309498450860012,63.86,model_2019_2023_unscaled_ridge_100_features_included
2014,2023,False,ridge,100.0,False,85.78376270811611,0.12309498450860012,63.86,model_2014_2023_unscaled_ridge_100_features_included
2023,2023,False,elasticnet,1.0,True,85.91019674017994,0.12180254135449398,63.86,model_2023_2023_unscaled_elasticnet_1_features_removed
2022,2023,False,elasticnet,1.0,True,85.91019674017994,0.12180254135449398,63.86,model_2022_2023_unscaled_elasticnet_1_features_removed
2019,2023,False,elasticnet,1.0,True,85.91019674017994,0.12180254135449398,63.86,model_2019_2023_unscaled_elasticnet_1_features_removed
2014,2023,False,elasticnet,1.0,True,85.91019674017994,0.12180254135449398,63.86,model_2014_2023_unscaled_elasticnet_1_features_removed
2023,2023,False,elasticnet,0.01,False,87.74134132562394,0.1030840820520107,63.86,model_2023_2023_unscaled_elasticnet_0.01_features_included
2022,2023,False,elasticnet,0.01,False,87.74134132562394,0.1030840820520107,63.86,model_2022_2023_unscaled_elasticnet_0.01_features_included
2019,2023,False,elasticnet,0.01,False,87.74134132562394,0.1030840820520107,63.86,model_2019_2023_unscaled_elasticnet_0.01_features_included
2014,2023,False,elasticnet,0.01,False,87.74134132562394,0.1030840820520107,63.86,model_2014_2023_unscaled_elasticnet_0.01_features_included
2023,2023,False,ridge,0.01,True,97.59221482091553,0.0023857668663651577,63.86,model_2023_2023_unscaled_ridge_0.01_features_removed
2022,2023,False,ridge,0.01,True,97.59221482091553,0.0023857668663651577,63.86,model_2022_2023_unscaled_ridge_0.01_features_removed
