#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Saints,25.8,413,372,580,64.1,4503,7.8,12.1,27,13,207,23,,94
2,Colts,26.7,427,362,557,65,4308,7.7,11.9,31,9,241,15,,100
3,Eagles,24.9,398,323,544,59.4,4119,7.6,12.8,31,9,189,28,,95
4,Rams,22.9,367,371,592,62.7,3962,6.7,10.7,24,8,212,49,,90
5,Cowboys,26.6,425,310,506,61.3,3836,7.6,12.4,26,21,197,37,,85
6,Bengals,23.3,373,327,523,62.5,3833,7.3,11.7,28,13,200,36,,92
7,Lions,19.1,305,372,596,62.4,3820,6.4,10.3,21,22,208,63,,77
8,Packers,18.8,301,350,630,55.6,3795,6,10.8,18,18,185,24,,71
9,Steelers,22.1,353,312,523,59.7,3733,7.1,12,23,23,201,49,,78
10,Cardinals,19.6,314,322,545,59.1,3662,6.7,11.4,17,17,187,35,,77
11,Ravens,22.1,353,328,524,62.6,3435,6.6,10.5,21,14,179,17,,84
12,Patriots,24.1,385,326,527,61.9,3400,6.5,10.4,25,12,181,29,,87
13,Dolphins,16.2,260,342,591,57.9,3287,5.6,9.6,16,19,180,41,,69
14,Bears,26.7,427,282,514,54.9,3281,6.4,11.6,24,22,161,25,,72
15,Panthers,16.9,270,325,539,60.3,3264,6.1,10,19,17,158,32,,76
16,Chargers,30.8,492,287,466,61.6,3262,7,11.4,24,9,169,28,,92
17,Jets,19.8,316,313,488,64.1,3153,6.5,10.1,17,16,161,34,,80
18,Vikings,17.6,282,332,540,61.5,3123,5.8,9.4,13,20,160,43,,70
19,Giants,22.2,355,301,523,57.6,3058,5.8,10.2,24,18,163,25,,75
20,Seahawks,20.9,335,292,512,57,3054,6,10.5,26,22,167,49,,73
21,Commanders,19.2,307,274,470,58.3,3027,6.4,11,19,10,150,19,,82
22,Chiefs,20.7,331,272,450,60.4,3000,6.7,11,18,12,184,41,,82
23,Browns,14.9,238,318,512,62.1,2898,5.7,9.1,15,25,153,54,,67
24,Jaguars,23.2,371,266,446,59.6,2882,6.5,10.8,17,14,147,30,,78
25,Broncos,19.9,319,256,454,56.4,2799,6.2,10.9,20,18,151,31,,73
26,Buccaneers,13.2,211,296,535,55.3,2798,5.2,9.5,14,18,133,33,,65
27,Texans,16.7,267,329,481,68.4,2778,5.8,8.4,14,13,156,43,,82
28,Bills,18.8,300,268,431,62.2,2719,6.3,10.1,19,14,132,47,,81
29,49ers,18.6,298,257,444,57.9,2688,6.1,10.5,16,16,132,35,,73
30,Titans,20.2,324,226,447,50.6,2596,5.8,11.5,13,19,133,29,,60
31,Raiders,10.5,168,263,483,54.5,2420,5,9.2,7,24,144,72,,52
32,Falcons,18.2,292,222,416,53.4,2371,5.7,10.7,21,15,133,47,,72
