#,TEAM,PTS/G,TOTAL PTS,ATT,YDS,YDS/ATT,TD,1ST,TOP
,Falcons,18.2,292,537,2939,5.5,9,134,30:01
2,Chargers,30.8,492,522,2578,4.9,32,137,32:39
3,Jaguars,23.2,371,513,2541,5,23,127,32:14
4,Commanders,19.2,307,490,2216,4.5,13,123,30:15
5,Titans,20.2,324,469,2214,4.7,15,105,27:23
6,49ers,18.6,298,439,2172,4.9,12,97,29:00
7,Giants,22.2,355,455,2156,4.7,15,120,30:57
8,Broncos,19.9,319,488,2152,4.4,12,106,30:24
9,Chiefs,20.7,331,513,2143,4.2,17,105,30:30
10,Steelers,22.1,353,469,1992,4.2,16,100,31:29
11,Eagles,24.9,398,416,1984,4.8,13,106,29:59
12,Patriots,24.1,385,499,1969,3.9,20,121,32:35
13,Cowboys,26.6,425,472,1936,4.1,21,107,31:02
14,Seahawks,20.9,335,484,1923,4,8,112,30:48
15,Bears,26.7,427,503,1918,3.8,14,103,31:56
16,Vikings,17.6,282,442,1820,4.1,13,87,32:52
17,Rams,22.9,367,424,1805,4.3,13,94,31:20
18,Colts,26.7,427,439,1762,4,17,112,30:32
19,Saints,25.8,413,472,1761,3.7,19,99,32:53
20,Jets,19.8,316,491,1738,3.5,15,99,31:03
21,Texans,16.7,267,431,1687,3.9,13,106,29:21
22,Dolphins,16.2,260,402,1673,4.2,7,82,30:01
23,Packers,18.8,301,431,1663,3.9,9,93,31:45
24,Panthers,16.9,270,423,1659,3.9,7,100,30:27
25,Ravens,22.1,353,476,1637,3.4,11,86,33:48
26,Bengals,23.3,373,435,1629,3.7,14,88,29:36
27,Bills,18.8,300,420,1552,3.7,9,82,28:04
28,Buccaneers,13.2,211,404,1523,3.8,6,82,28:26
29,Raiders,10.5,168,394,1519,3.9,5,73,28:13
30,Cardinals,19.6,314,419,1338,3.2,12,84,30:59
31,Browns,14.9,238,372,1335,3.6,7,72,30:35
32,Lions,19.1,305,304,1129,3.7,9,53,28:41
