#,TEAM,,TOTAL PTS,ATT,YDS,YDS/ATT,TD,1ST,TOP
1,Ravens,,392,378,1436,3.8,13,81,28:25
2,Titans,,354,368,1438,3.9,14,90,28:53
3,Buccaneers,,353,366,1573,4.3,11,94,30:47
4,Saints,,335,426,1589,3.7,12,84,30:40
5,Bengals,,376,407,1742,4.3,15,107,30:06
6,Rams,,372,443,1754,4,18,111,31:26
7,49ers,,365,439,1760,4,17,97,30:48
8,Commanders,,434,430,1775,4.1,14,101,29:16
9,Eagles,,385,458,1834,4,18,115,30:05
10,Colts,,365,420,1854,4.4,10,101,29:34
11,Packers,,371,395,1855,4.7,13,120,28:30
12,Browns,,371,437,1857,4.2,13,108,29:12
13,Bills,,289,442,1866,4.2,19,108,29:34
14,Dolphins,,373,425,1867,4.4,16,106,30:04
15,Broncos,,322,441,1892,4.3,9,99,29:12
16,Cowboys,,358,429,1918,4.5,13,99,30:01
17,Seahawks,,366,509,1932,3.8,16,124,35:10
18,Panthers,,404,474,1935,4.1,16,112,30:31
19,Raiders,,439,462,1943,4.2,18,109,31:52
20,Cardinals,,366,426,1952,4.6,10,109,29:45
21,Chiefs,,364,419,1999,4.8,16,121,29:07
22,Patriots,,303,464,2103,4.5,9,111,30:43
23,Bears,,407,483,2127,4.4,14,116,30:40
24,Jaguars,,457,493,2127,4.3,22,124,33:38
25,Giants,,416,492,2193,4.5,15,126,32:35
26,Vikings,,426,475,2222,4.7,15,131,32:47
27,Falcons,,459,519,2242,4.3,19,143,32:50
28,Lions,,467,518,2296,4.4,19,135,31:23
29,Jets,,504,525,2351,4.5,29,129,33:44
30,Chargers,,459,509,2361,4.6,22,144,31:09
31,Texans,,452,523,2418,4.6,26,135,32:46
32,Steelers,,398,498,2483,5,17,144,31:29
