#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
1,Dolphins,29.2,496,393,566,69.4,4514,8,11.5,30,15,223,31,,100
2,Lions,27.1,461,408,606,67.3,4401,7.3,10.8,30,12,228,31,,97
3,Cowboys,29.9,509,428,614,69.7,4397,7.2,10.3,36,10,229,40,,103
4,49ers,28.9,491,336,491,68.4,4384,8.9,13,33,12,207,34,,109
5,Vikings,20.2,344,424,631,67.2,4359,6.9,10.3,30,19,220,47,,90
6,Chiefs,21.8,371,421,635,66.3,4188,6.6,9.9,28,17,216,28,,88
7,Texans,22.2,377,372,592,62.8,4173,7,11.2,27,8,215,47,,93
8,Bills,26.5,451,385,579,66.5,4154,7.2,10.8,29,18,199,24,,91
9,Jaguars,22.2,377,412,620,66.5,4126,6.7,10,22,14,199,41,,88
10,Rams,23.8,404,361,583,61.9,4063,7,11.3,26,13,206,34,,88
11,Saints,23.6,402,406,606,67,3990,6.6,9.8,28,11,199,35,,93
12,Packers,22.5,383,374,581,64.4,3968,6.8,10.6,32,11,211,30,,95
13,Chargers,20.4,346,409,632,64.7,3957,6.3,9.7,24,8,204,43,,89
14,Seahawks,21.4,364,371,575,64.5,3910,6.8,10.5,23,12,189,38,,89
15,Bengals,21.5,366,420,615,68.3,3895,6.3,9.3,27,14,208,50,,91
16,Eagles,25.5,433,369,563,65.5,3834,6.8,10.4,24,16,197,39,,87
17,Buccaneers,20.5,348,364,568,64.1,3812,6.7,10.5,28,10,188,40,,93
18,Commanders,19.4,329,407,636,64,3725,5.9,9.2,24,21,190,65,,79
19,Browns,23.3,396,355,624,56.9,3693,5.9,10.4,24,23,173,45,,72
20,Colts,23.3,396,355,574,61.8,3666,6.4,10.3,18,10,178,41,,83
21,Ravens,28.4,483,328,494,66.4,3635,7.4,11.1,27,7,180,41,,100
22,Falcons,18.9,321,327,530,61.7,3524,6.6,10.8,17,17,181,40,,79
23,Raiders,19.5,332,348,557,62.5,3380,6.1,9.7,20,18,182,40,,78
24,Broncos,21,357,337,513,65.7,3262,6.4,9.7,28,9,154,52,,94
25,Steelers,17.9,304,323,506,63.8,3163,6.3,9.8,13,9,153,36,,82
26,Cardinals,19.4,330,355,555,64,3144,5.7,8.9,18,12,173,42,,81
27,Bears,21.2,360,321,513,62.6,3096,6,9.6,19,15,169,50,,80
28,Patriots,13.9,236,351,557,63,3069,5.5,8.7,16,21,153,48,,71
29,Titans,17.9,305,304,494,61.5,3067,6.2,10.1,14,11,158,64,,79
30,Jets,15.8,268,356,601,59.2,2919,4.9,8.2,11,15,156,64,,67
31,Giants,15.6,266,338,518,65.3,2886,5.6,8.5,15,12,141,85,,80
32,Panthers,13.9,236,350,586,59.7,2741,4.7,7.8,13,10,150,65,,72
