#,TEAM,,TOTAL PTS,ATT,YDS,YDS/ATT,TD,1ST,TOP
,Chargers,,312,386,1349,3.5,14,90,28:27
2,Broncos,,258,344,1363,4,10,82,27:25
3,Steelers,,258,402,1376,3.4,10,75,29:10
4,Panthers,,259,408,1465,3.6,9,72,29:12
5,Seahawks,,271,420,1510,3.6,5,78,31:17
6,Buccaneers,,274,438,1515,3.5,10,75,30:42
7,Chiefs,,325,383,1570,4.1,11,84,28:51
8,Patriots,,338,437,1580,3.6,11,94,30:41
9,Ravens,,299,431,1591,3.7,8,79,30:58
10,Cardinals,,387,411,1632,4,23,83,29:40
11,Bears,,202,443,1637,3.7,9,83,32:31
12,Giants,,314,428,1656,3.9,12,83,30:24
13,Commanders,,293,411,1686,4.1,15,74,29:38
14,Jaguars,,269,434,1709,3.9,4,79,29:44
15,Cowboys,,308,414,1731,4.2,13,87,28:45
16,Colts,,247,398,1762,4.4,9,91,30:38
17,Dolphins,,317,480,1771,3.7,11,94,33:35
18,49ers,,428,486,1832,3.8,19,115,33:05
19,Vikings,,344,462,1841,4,14,96,31:14
20,Bengals,,350,429,1850,4.3,16,109,29:08
21,Eagles,,388,506,1883,3.7,15,91,32:00
22,Titans,,421,449,1894,4.2,12,89,29:47
23,Packers,,344,504,2010,4,10,107,29:22
24,Lions,,345,488,2040,4.2,15,109,31:10
25,Raiders,,383,507,2049,4,18,100,32:53
26,Falcons,,341,438,2063,4.7,18,122,30:30
27,Saints,,398,503,2145,4.3,16,103,29:28
28,Rams,,429,459,2178,4.7,22,116,30:58
29,Jets,,355,554,2185,3.9,19,136,34:35
30,Browns,,301,527,2202,4.2,11,116,32:00
31,Bills,,367,489,2205,4.5,22,146,31:56
32,Texans,,431,506,2303,4.6,21,123,32:24
