#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Broncos,,297,306,552,55.4,2972,5.4,9.7,13,14,169,42,228,68
2,Texans,,328,319,522,61.1,3226,6.2,10.1,20,11,157,31,198,83
3,Vikings,,307,332,548,60.6,3327,6.1,10,22,14,186,41,310,81
4,Cardinals,,362,344,547,62.9,3365,6.2,9.8,21,14,175,48,374,82
5,Jaguars,,400,345,551,62.6,3444,6.3,10,20,7,174,33,183,87
6,Bills,,378,306,511,59.9,3582,7,11.7,19,12,183,39,253,84
7,Bears,,399,342,530,64.5,3598,6.8,10.5,22,8,188,37,230,92
8,Seahawks,,292,331,537,61.6,3612,6.7,10.9,16,11,180,42,272,83
9,Ravens,,321,369,578,63.8,3724,6.4,10.1,28,18,190,31,223,85
10,Rams,,394,378,583,64.8,3732,6.4,9.9,32,10,194,31,196,94
11,Bengals,,315,374,593,63.1,3800,6.4,10.2,22,17,196,33,185,82
12,Patriots,,250,368,596,61.7,3806,6.4,10.3,21,13,190,34,227,83
13,Eagles,,331,333,553,60.2,3832,6.9,11.5,25,16,177,34,207,84
14,49ers,,480,323,522,61.9,3848,7.4,11.9,30,10,187,33,165,96
15,Dolphins,,380,368,591,62.3,3875,6.6,10.5,30,16,199,33,226,87
16,Steelers,,327,381,590,64.6,3882,6.6,10.2,20,13,184,38,259,85
17,Jets,,409,347,545,63.7,3898,7.2,11.2,30,8,203,27,179,97
18,Chiefs,,311,350,598,58.5,3958,6.6,11.3,23,18,209,28,162,79
19,Lions,,358,399,549,72.7,3975,7.2,10,33,10,206,26,161,105
20,Chargers,,423,364,580,62.8,3987,6.9,11,21,18,204,35,230,82
21,Browns,,452,347,543,63.9,3996,7.4,11.5,36,10,220,26,177,100
22,Buccaneers,,369,347,548,63.3,4012,7.3,11.6,24,17,203,38,234,87
23,Giants,,284,369,630,58.6,4018,6.4,10.9,15,17,191,35,242,74
24,Raiders,,385,328,541,60.6,4120,7.6,12.6,27,16,188,25,147,89
25,Commanders,,383,387,589,65.7,4130,7,10.7,22,13,225,38,253,89
26,Cowboys,,306,425,633,67.1,4167,6.6,9.8,25,9,226,36,209,93
27,Colts,,392,377,581,64.9,4196,7.2,11.1,27,8,225,33,211,96
28,Falcons,,406,422,655,64.4,4264,6.5,10.1,31,12,232,35,231,91
29,Panthers,,402,409,612,66.8,4291,7,10.5,27,17,223,48,270,90
30,Titans,,378,388,635,61.1,4307,6.8,11.1,25,12,227,40,278,87
31,Packers,,388,370,571,64.8,4308,7.5,11.6,32,17,227,40,295,94
32,Saints,,454,378,582,64.9,4380,7.5,11.6,27,9,230,30,213,97
