#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Saints,29.3,469,472,674,70,5074,7.5,10.8,38,15,265,27,,101
2,Commanders,24.8,396,407,607,67.1,4758,7.8,11.7,25,12,226,23,,96
3,Falcons,33.8,540,374,537,69.6,4725,8.8,12.6,38,7,239,37,,115
4,Patriots,27.6,441,368,550,66.9,4308,7.8,11.7,32,2,203,24,,108
5,Colts,25.7,411,370,584,63.4,4202,7.2,11.4,32,15,220,44,,92
6,Steelers,24.9,399,381,596,63.9,4202,7.1,11,33,15,210,21,,93
7,Packers,27,432,403,620,65,4199,6.8,10.4,40,8,222,35,,101
8,Chargers,25.6,410,349,580,60.2,4198,7.2,12,33,21,214,36,,86
9,Cardinals,26.1,418,383,646,59.3,4136,6.4,10.8,28,17,229,41,,82
10,Seahawks,22.1,354,368,567,64.9,4124,7.3,11.2,23,12,203,42,,91
11,Lions,21.6,346,388,594,65.3,4111,6.9,10.6,24,10,217,37,,92
12,Ravens,21.4,343,439,679,64.7,4100,6,9.3,20,16,205,33,,81
13,Raiders,26,416,378,595,63.5,4047,6.8,10.7,29,7,198,19,,95
14,Bears,17.4,279,347,559,62.1,3969,7.1,11.4,19,19,212,28,,81
15,Bengals,20.3,325,364,563,64.7,3942,7,10.8,18,8,204,41,,90
16,Buccaneers,22.1,354,355,578,61.4,3923,6.8,11.1,29,18,220,36,,85
17,Giants,19.4,310,377,598,63,3879,6.5,10.3,26,16,190,22,,85
18,Vikings,20.4,327,414,588,70.4,3836,6.5,9.3,20,5,209,38,,96
19,Chiefs,24.3,389,365,546,66.8,3740,6.8,10.2,19,8,197,32,,92
20,Jaguars,19.9,318,369,626,58.9,3728,6,10.1,24,16,207,34,,78
21,Panthers,23.1,369,306,563,54.4,3685,6.5,12,21,19,194,36,,73
22,Broncos,20.8,333,339,570,59.5,3685,6.5,10.9,20,11,181,40,,82
23,Cowboys,26.3,421,325,483,67.3,3631,7.5,11.2,25,6,191,28,,102
24,Eagles,22.9,367,380,609,62.4,3585,5.9,9.4,16,14,192,33,,78
25,Titans,23.8,381,307,504,60.9,3541,7,11.5,29,11,175,28,,92
26,Dolphins,22.7,363,316,477,66.2,3500,7.3,11.1,27,15,167,30,,94
27,Jets,17.2,275,311,550,56.5,3466,6.3,11.1,16,25,166,35,,66
28,Browns,16.5,264,338,567,59.6,3264,5.8,9.7,15,14,181,66,,74
29,Texans,17.4,279,347,583,59.5,3176,5.4,9.2,15,16,173,32,,72
30,Bills,24.9,399,287,475,60.4,3036,6.4,10.6,17,7,155,46,,85
31,Rams,14,224,312,536,58.2,2951,5.5,9.5,14,20,151,49,,67
32,49ers,19.3,309,287,492,58.3,2911,5.9,10.1,21,10,152,47,,81
