#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Eagles,,344,350,556,62.9,3057,5.5,8.7,22,17,186,70,491,78
2,Saints,,345,322,536,60.1,3134,5.8,9.7,17,7,159,48,279,82
3,Jets,,316,347,556,62.4,3220,5.8,9.3,15,12,166,45,306,78
4,Commanders,,343,308,514,59.9,3252,6.3,10.6,26,9,155,43,279,88
5,Browns,,381,315,519,60.7,3336,6.4,10.6,20,11,166,34,211,83
6,Packers,,371,314,478,65.7,3349,7,10.7,22,17,163,34,204,87
7,Chargers,,384,310,505,61.4,3406,6.7,11,24,14,175,40,287,86
8,Cowboys,,342,345,550,62.7,3415,6.2,9.9,23,16,174,54,352,82
9,Bills,,286,362,570,63.5,3433,6,9.5,21,17,181,40,288,80
10,Buccaneers,,358,364,570,63.9,3461,6.1,9.5,29,10,186,45,331,90
11,Texans,,420,336,522,64.4,3558,6.8,10.6,15,16,196,39,217,81
12,Colts,,427,365,537,68,3569,6.6,9.8,25,10,184,44,267,94
13,Broncos,,359,392,605,64.8,3574,5.9,9.1,20,15,180,36,245,81
14,Seahawks,,401,343,547,62.7,3595,6.6,10.5,23,14,188,45,296,85
15,Giants,,371,349,568,61.4,3638,6.4,10.4,21,6,200,41,271,88
16,Bengals,,322,329,559,58.9,3665,6.6,11.1,17,13,173,30,163,79
17,Patriots,,347,364,596,61.1,3681,6.2,10.1,28,19,194,54,348,81
18,Bears,,463,323,481,67.2,3716,7.7,11.5,22,14,184,20,124,93
19,Chiefs,,369,408,619,65.9,3756,6.1,9.2,33,11,207,55,388,93
20,Steelers,,346,332,542,61.3,3779,7,11.4,29,20,196,40,287,85
21,49ers,,277,389,593,65.6,3789,6.4,9.7,20,20,188,44,307,81
22,Rams,,384,375,556,67.4,3842,6.9,10.2,23,16,203,38,250,89
23,Panthers,,374,383,580,66,3868,6.7,10.1,25,10,194,35,230,92
24,Cardinals,,449,414,593,69.8,3915,6.6,9.5,29,11,218,36,266,96
25,Falcons,,386,372,561,66.3,3942,7,10.6,26,10,200,21,148,95
26,Ravens,,315,394,593,66.4,3947,6.7,10,20,14,206,48,305,87
27,Dolphins,,399,416,624,66.7,3992,6.4,9.6,27,8,200,40,290,93
28,Jaguars,,350,385,601,64.1,4055,6.7,10.5,25,14,211,35,203,88
29,Raiders,,418,399,590,67.6,4129,7,10.3,25,6,206,27,192,97
30,Lions,,427,353,560,63,4179,7.5,11.8,26,12,209,39,267,92
31,Vikings,,427,408,617,66.1,4515,7.3,11.1,23,15,224,38,241,90
32,Titans,,359,439,671,65.4,4671,7,10.6,29,14,215,39,264,91
