#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
1,49ers,,310,318,519,61.3,2707,5.2,8.5,23,12,150,48,367,80
2,Patriots,,225,303,536,56.5,2886,5.4,9.5,13,25,150,47,328,60
3,Steelers,,303,314,514,61.1,3113,6.1,9.9,23,20,164,54,342,77
4,Bills,,259,348,553,62.9,3123,5.6,9,15,14,169,44,298,77
5,Chargers,,345,328,464,70.7,3204,6.9,9.8,21,11,156,30,190,95
6,Ravens,,282,318,544,58.5,3315,6.1,10.4,15,13,163,37,268,75
7,Browns,,393,318,513,62,3470,6.8,10.9,25,14,184,38,270,87
8,Chiefs,,308,352,582,60.5,3543,6.1,10.1,21,16,190,45,338,78
9,Bears,,298,362,571,63.4,3554,6.2,9.8,17,10,190,32,242,83
10,Cowboys,,321,370,569,65,3576,6.3,9.7,21,7,188,39,303,90
11,Broncos,,316,348,537,64.8,3609,6.7,10.4,19,10,175,40,213,88
12,Rams,,364,348,562,61.9,3625,6.5,10.4,23,13,194,50,303,85
13,Panthers,,470,347,544,63.8,3696,6.8,10.7,21,14,197,53,301,86
14,Packers,,313,326,546,59.7,3721,6.8,11.4,19,17,191,41,295,79
15,Vikings,,303,394,601,65.6,3737,6.2,9.5,23,17,215,48,362,84
16,Jaguars,,397,327,517,63.2,3778,7.3,11.6,22,10,193,47,310,91
17,Jets,,359,363,585,62.1,3779,6.5,10.4,25,12,187,35,222,86
18,Commanders,,435,371,540,68.7,3823,7.1,10.3,35,13,200,46,270,100
19,Eagles,,354,348,571,60.9,3865,6.8,11.1,27,11,185,43,271,89
20,Saints,,341,371,603,61.5,3868,6.4,10.4,27,13,197,51,333,86
21,Bengals,,420,308,499,61.7,3917,7.8,12.7,25,11,183,31,204,94
22,Falcons,,399,351,536,65.5,3918,7.3,11.2,28,12,192,28,219,95
23,Colts,,373,394,562,70.1,3982,7.1,10.1,29,15,207,41,249,96
24,Titans,,331,386,598,64.5,4080,6.8,10.6,25,14,213,43,276,88
25,Raiders,,419,337,526,64.1,4107,7.8,12.2,33,9,201,32,248,102
26,Dolphins,,494,344,545,63.1,4198,7.7,12.2,39,13,214,23,155,101
27,Seahawks,,398,383,598,64,4223,7.1,11,19,16,224,28,184,84
28,Giants,,451,369,556,66.4,4225,7.6,11.4,30,10,211,36,246,100
29,Texans,,385,375,586,64,4276,7.3,11.4,33,12,220,31,215,96
30,Buccaneers,,449,408,664,61.4,4322,6.5,10.6,30,12,222,47,325,88
31,Cardinals,,442,421,601,70,4510,7.5,10.7,38,7,243,40,275,108
32,Lions,,423,381,611,62.4,4551,7.4,11.9,33,7,232,28,188,98
