#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
1,Buccaneers,28.6,458,382,630,60.6,4845,7.7,12.7,33,30,244,47,,82
2,Cowboys,27.1,434,388,597,65,4751,8,12.2,30,11,229,23,,98
3,Falcons,23.8,381,459,684,67.1,4714,6.9,10.3,29,15,258,50,,92
4,Rams,24.6,394,397,632,62.8,4499,7.1,11.3,22,17,222,22,,84
5,Chiefs,28.2,451,378,576,65.6,4498,7.8,11.9,30,5,211,25,,103
6,Chargers,21.1,337,394,597,66,4426,7.4,11.2,24,20,220,34,,87
7,Saints,28.6,458,418,581,71.9,4244,7.3,10.2,36,6,230,25,,109
8,Patriots,26.2,420,378,620,61,3961,6.4,10.5,25,9,197,28,,87
9,Raiders,19.6,313,367,523,70.2,3926,7.5,10.7,22,8,194,29,,99
10,Lions,21.3,341,344,571,60.2,3900,6.8,11.3,28,15,196,43,,86
11,Eagles,24.1,385,391,613,63.8,3833,6.3,9.8,27,8,215,37,,91
12,Dolphins,19.1,306,371,615,60.3,3804,6.2,10.3,22,18,210,58,,78
13,49ers,29.9,479,331,478,69.2,3792,7.9,11.5,28,13,195,36,,101
14,Seahawks,25.3,405,341,517,66,3791,7.3,11.1,31,6,190,48,,103
15,Texans,23.6,378,355,534,66.5,3783,7.1,10.7,27,14,203,49,,93
16,Jaguars,18.8,300,364,589,61.8,3760,6.4,10.3,24,8,183,42,,88
17,Packers,23.5,376,356,573,62.1,3733,6.5,10.5,26,4,190,36,,93
18,Giants,21.3,341,376,607,61.9,3731,6.1,9.9,30,17,187,43,,84
19,Bengals,17.4,279,356,616,57.8,3652,5.9,10.3,18,16,191,48,,74
20,Panthers,21.2,340,382,633,60.3,3650,5.8,9.6,17,21,230,58,,72
21,Titans,25.1,402,297,448,66.3,3582,8,12.1,29,8,177,56,,105
22,Browns,20.9,335,318,539,59,3554,6.6,11.2,22,21,180,41,,76
23,Vikings,25.4,407,319,466,68.5,3523,7.6,11,26,8,171,28,,102
24,Cardinals,22.6,361,355,554,64.1,3477,6.3,9.8,20,12,176,50,,85
25,Bears,17.5,280,371,580,64,3291,5.7,8.9,20,12,178,45,,82
26,Bills,19.6,314,299,513,58.3,3229,6.3,10.8,21,12,162,40,,81
27,Ravens,33.2,531,289,440,65.7,3225,7.3,11.2,37,8,171,28,,108
28,Broncos,17.6,282,312,504,61.9,3115,6.2,10,16,10,162,41,,82
29,Jets,17.2,276,323,521,62,3111,6,9.6,19,16,162,52,,78
30,Colts,22.6,361,307,513,59.8,3108,6.1,10.1,22,10,165,32,,83
31,Steelers,18.1,289,315,510,61.8,2981,5.8,9.5,18,19,147,32,,74
32,Commanders,16.6,266,298,479,62.2,2812,5.9,9.4,18,13,154,50,,80
