#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Steelers,,223,301,533,56.5,2511,4.7,8.3,12,20,149,51,350,61
2,Ravens,,244,276,528,52.3,2875,5.4,10.4,17,26,152,34,257,59
3,Eagles,,289,284,525,54.1,2913,5.5,10.3,19,15,144,48,312,70
4,Buccaneers,,323,276,475,58.1,2997,6.3,10.9,23,22,153,29,190,74
5,Cowboys,,365,308,508,60.6,3003,5.9,9.8,19,8,163,59,374,83
6,Colts,,298,329,481,68.4,3009,6.3,9.1,6,15,165,30,200,76
7,Commanders,,296,290,511,56.8,3095,6.1,10.7,16,13,159,24,141,74
8,Giants,,294,296,503,58.8,3139,6.2,10.6,17,17,165,42,288,74
9,Titans,,234,342,575,59.5,3196,5.6,9.3,12,20,166,44,262,67
10,Raiders,,388,266,471,56.5,3220,6.8,12.1,20,16,166,32,188,78
11,Patriots,,309,288,474,60.8,3222,6.8,11.2,27,14,176,31,239,88
12,Packers,,380,287,518,55.4,3244,6.3,11.3,22,22,141,27,140,71
13,Bills,,342,301,492,61.2,3271,6.6,10.9,14,10,167,24,170,82
14,Browns,,350,286,446,64.1,3273,7.3,11.4,19,23,176,17,90,79
15,Bengals,,364,315,506,62.3,3287,6.5,10.4,23,12,169,17,122,86
16,Panthers,,329,333,557,59.8,3387,6.1,10.2,19,12,178,37,230,80
17,Texans,,394,294,471,62.4,3423,7.3,11.6,24,12,167,25,175,91
18,Vikings,,333,324,530,61.1,3449,6.5,10.6,15,12,163,45,304,80
19,Rams,,465,278,444,62.6,3475,7.8,12.5,20,12,158,30,201,91
20,49ers,,381,331,545,60.7,3507,6.4,10.6,22,12,170,30,161,84
21,Falcons,,325,325,549,59.2,3526,6.4,10.8,20,10,189,34,245,83
22,Cardinals,,426,323,517,62.5,3540,6.8,11,36,13,172,31,191,95
23,Saints,,393,299,526,56.8,3547,6.7,11.9,21,15,180,28,161,79
24,Jaguars,,367,297,465,63.9,3586,7.7,12.1,25,13,166,29,191,94
25,Dolphins,,317,320,551,58.1,3644,6.6,11.4,18,18,173,40,218,75
26,Broncos,,448,333,495,67.3,3656,7.4,11,20,6,186,26,141,97
27,Lions,,517,303,443,68.4,3716,8.4,12.3,25,4,188,30,191,109
28,Chiefs,,440,348,522,66.7,3748,7.2,10.8,21,13,195,10,62,91
29,Jets,,356,368,572,64.3,3752,6.6,10.2,23,14,209,41,253,86
30,Bears,,350,383,622,61.6,3859,6.2,10.1,21,22,208,28,217,76
31,Chargers,,347,411,605,67.9,3958,6.5,9.6,25,15,213,28,132,89
32,Seahawks,,392,366,566,64.7,4149,7.3,11.3,25,9,207,35,193,95
