#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Saints,28.9,463,413,636,64.9,4977,7.8,12.1,34,18,232,13,,95
2,Cardinals,26.7,427,418,630,66.3,4674,7.4,11.2,31,15,231,28,,95
3,Broncos,23.1,370,386,620,62.3,4471,7.2,11.6,25,18,223,12,,85
4,Texans,22.9,366,367,555,66.1,4267,7.7,11.6,21,20,210,32,,87
5,Colts,23.6,377,393,585,67.2,4094,7,10.4,27,12,220,14,,94
6,Eagles,26,416,362,606,59.7,3911,6.5,10.8,23,16,204,23,,80
7,Chargers,27.4,439,312,478,65.3,3858,8.1,12.4,34,11,191,25,,104
8,Packers,26.2,419,343,541,63.4,3813,7,11.1,28,13,182,34,,92
9,Cowboys,22.6,362,328,547,60,3789,6.9,11.6,29,20,171,31,,83
10,Dolphins,21.6,345,330,491,67.2,3632,7.4,11,20,7,184,26,,97
11,Buccaneers,22.6,361,355,562,63.2,3619,6.4,10.2,18,13,184,32,,83
12,Patriots,25.6,410,339,534,63.5,3569,6.7,10.5,21,11,186,48,,87
13,49ers,21.2,339,309,509,60.7,3379,6.6,10.9,21,19,176,55,,79
14,Falcons,24.4,391,265,434,61.1,3336,7.7,12.6,16,11,157,17,,87
15,Jaguars,18.9,302,335,537,62.4,3332,6.2,9.9,15,13,183,42,,79
16,Jets,25.3,405,347,529,65.6,3303,6.2,9.5,22,23,186,30,,79
17,Steelers,21.7,347,303,506,59.9,3301,6.5,10.9,19,15,179,49,,79
18,Giants,26.7,427,298,491,60.7,3177,6.5,10.7,23,10,176,28,,87
19,Panthers,25.9,414,246,414,59.4,3158,7.6,12.8,15,12,152,20,,83
20,Chiefs,18.2,291,310,541,57.3,3129,5.8,10.1,23,16,161,37,,76
21,Bears,23.4,375,304,528,57.6,3061,5.8,10.1,20,14,153,29,,76
22,Bills,21,336,309,479,64.5,3040,6.3,9.8,14,15,167,38,,79
23,Commanders,16.6,265,318,510,62.4,3025,5.9,9.5,14,6,165,38,,83
24,Lions,16.8,268,281,509,55.2,2960,5.8,10.5,18,19,143,52,,69
25,Vikings,23.7,379,267,452,59.1,2956,6.5,11.1,22,17,150,43,,79
26,Rams,14.5,232,292,520,56.2,2947,5.7,10.1,11,19,140,45,,64
27,Titans,23.4,375,265,453,58.5,2819,6.2,10.6,13,9,143,12,,78
28,Ravens,24.1,385,261,433,60.3,2808,6.5,10.8,16,12,147,33,,80
29,Seahawks,18.4,294,262,474,55.3,2617,5.5,10,18,15,142,36,,71
30,Bengals,12.8,204,303,513,59.1,2406,4.7,7.9,11,15,145,51,,66
31,Browns,14.5,232,238,488,48.8,2380,4.9,10,11,20,127,24,,53
32,Raiders,16.4,263,222,421,52.7,2369,5.6,10.7,13,11,123,39,,69
