Start Year,End Year,Scaling,Regularization,Alpha,Features Removed,MSE,Accuracy,Model Name
2019,2023,True,elasticnet,0.6,False,69.24244317499267,68.66,model_2019_2023_scaled_elasticnet_0.6_features_included
2019,2023,False,lasso,0.2,False,70.2281289266776,68.66,model_2019_2023_unscaled_lasso_0.2_features_included
2014,2023,True,elasticnet,0.2,False,78.71023951516096,68.66,model_2014_2023_scaled_elasticnet_0.2_features_included
2014,2023,False,elasticnet,0.4,False,78.87842863787954,68.66,model_2014_2023_unscaled_elasticnet_0.4_features_included
2014,2023,True,elasticnet,0.8,False,78.94776581566133,68.66,model_2014_2023_scaled_elasticnet_0.8_features_included
2014,2023,True,elasticnet,1.0,False,79.2473082338654,68.66,model_2014_2023_scaled_elasticnet_1.0_features_included
2022,2023,False,lasso,1.0,False,80.2684234378183,68.66,model_2022_2023_unscaled_lasso_1.0_features_included
2022,2023,True,elasticnet,0.6,False,81.14620720623847,68.66,model_2022_2023_scaled_elasticnet_0.6_features_included
2022,2023,True,elasticnet,0.4,False,81.15785620376423,68.66,model_2022_2023_scaled_elasticnet_0.4_features_included
2023,2023,False,lasso,0.8,False,82.36178421313757,68.66,model_2023_2023_unscaled_lasso_0.8_features_included
2023,2023,False,lasso,0.6,False,82.71519833560274,68.66,model_2023_2023_unscaled_lasso_0.6_features_included
2023,2023,False,elasticnet,0.2,False,85.51901173717923,68.66,model_2023_2023_unscaled_elasticnet_0.2_features_included
2023,2023,True,elasticnet,1.0,False,80.38368039608001,68.31,model_2023_2023_scaled_elasticnet_1.0_features_included
2023,2023,False,elasticnet,0.8,False,83.54004707637156,68.31,model_2023_2023_unscaled_elasticnet_0.8_features_included
2019,2023,False,lasso,0.6,False,69.80011004219391,67.96,model_2019_2023_unscaled_lasso_0.6_features_included
2019,2023,False,elasticnet,1.0,False,69.8521637350446,67.96,model_2019_2023_unscaled_elasticnet_1.0_features_included
2019,2023,False,elasticnet,0.6,False,70.03211259768597,67.96,model_2019_2023_unscaled_elasticnet_0.6_features_included
2014,2023,False,lasso,1.0,False,78.94902763059557,67.96,model_2014_2023_unscaled_lasso_1.0_features_included
2014,2023,False,lasso,0.8,False,78.95446845378176,67.96,model_2014_2023_unscaled_lasso_0.8_features_included
2014,2023,False,lasso,0.6,False,78.98973253794338,67.96,model_2014_2023_unscaled_lasso_0.6_features_included
2014,2023,False,elasticnet,1.0,False,79.00695068599121,67.96,model_2014_2023_unscaled_elasticnet_1.0_features_included
2022,2023,False,lasso,0.8,False,80.50752826859421,67.96,model_2022_2023_unscaled_lasso_0.8_features_included
2023,2023,True,elasticnet,0.6,False,80.53117571152222,67.96,model_2023_2023_scaled_elasticnet_0.6_features_included
2022,2023,True,elasticnet,0.2,False,81.41397054203075,67.96,model_2022_2023_scaled_elasticnet_0.2_features_included
2023,2023,False,lasso,1.0,False,81.88672827394711,67.96,model_2023_2023_unscaled_lasso_1.0_features_included
2023,2023,False,elasticnet,0.6,False,84.00661377774327,67.96,model_2023_2023_unscaled_elasticnet_0.6_features_included
