Start Year,End Year,Scaling,Regularization,Alpha,Features Removed,MSE,Accuracy,Model Name
2023,2023,False,elasticnet,0.2,False,85.51901173717923,66.54,model_2023_2023_unscaled_elasticnet_0.2_features_included
2022,2023,False,lasso,0.4,False,81.3655629796688,66.18,model_2022_2023_unscaled_lasso_0.4_features_included
2019,2023,False,ridge,1.0,False,71.62164842803327,65.81,model_2019_2023_unscaled_ridge_1.0_features_included
2019,2023,False,ridge,0.8,False,71.62601922240327,65.81,model_2019_2023_unscaled_ridge_0.8_features_included
2014,2023,False,elasticnet,0.2,False,78.858344390098,65.81,model_2014_2023_unscaled_elasticnet_0.2_features_included
2023,2023,True,elasticnet,0.2,False,81.7957948202216,65.81,model_2023_2023_scaled_elasticnet_0.2_features_included
2023,2023,False,lasso,0.4,False,83.74036817331458,65.81,model_2023_2023_unscaled_lasso_0.4_features_included
2023,2023,False,elasticnet,0.4,False,84.65272720410623,65.81,model_2023_2023_unscaled_elasticnet_0.4_features_included
2023,2023,False,lasso,0.2,False,85.31040176264833,65.81,model_2023_2023_unscaled_lasso_0.2_features_included
2019,2023,False,ridge,0.6,False,71.6306199509482,65.44,model_2019_2023_unscaled_ridge_0.6_features_included
2019,2023,False,ridge,0.4,False,71.63547499622817,65.44,model_2019_2023_unscaled_ridge_0.4_features_included
2019,2023,False,ridge,0.2,False,71.64061246027293,65.44,model_2019_2023_unscaled_ridge_0.2_features_included
2019,2023,False,,,False,71.64606491736156,65.44,model_2019_2023_unscaled_none__features_included
2023,2023,True,elasticnet,0.4,False,80.9830242730566,65.44,model_2023_2023_scaled_elasticnet_0.4_features_included
2022,2023,False,elasticnet,0.4,False,82.00760406781079,65.44,model_2022_2023_unscaled_elasticnet_0.4_features_included
2022,2023,False,ridge,1.0,False,84.6169289789125,65.44,model_2022_2023_unscaled_ridge_1.0_features_included
2022,2023,False,ridge,0.8,False,84.6341506324923,65.44,model_2022_2023_unscaled_ridge_0.8_features_included
2022,2023,False,ridge,0.6,False,84.65516037393608,65.44,model_2022_2023_unscaled_ridge_0.6_features_included
2014,2023,False,elasticnet,0.4,False,78.87842863787954,65.07,model_2014_2023_unscaled_elasticnet_0.4_features_included
2014,2023,False,lasso,0.2,False,78.89008401156619,65.07,model_2014_2023_unscaled_lasso_0.2_features_included
2014,2023,False,lasso,0.6,False,78.98973253794338,65.07,model_2014_2023_unscaled_lasso_0.6_features_included
2014,2023,False,ridge,1.0,False,79.10987289281157,65.07,model_2014_2023_unscaled_ridge_1.0_features_included
2014,2023,False,ridge,0.8,False,79.11063766808,65.07,model_2014_2023_unscaled_ridge_0.8_features_included
2014,2023,False,ridge,0.6,False,79.11140573748229,65.07,model_2014_2023_unscaled_ridge_0.6_features_included
2014,2023,False,ridge,0.4,False,79.11217652874139,65.07,model_2014_2023_unscaled_ridge_0.4_features_included
2014,2023,False,ridge,0.2,False,79.11294934164853,65.07,model_2014_2023_unscaled_ridge_0.2_features_included
2014,2023,False,,,False,79.113723318901,65.07,model_2014_2023_unscaled_none__features_included
2023,2023,False,lasso,0.8,False,82.36178421313757,65.07,model_2023_2023_unscaled_lasso_0.8_features_included
2023,2023,False,lasso,0.6,False,82.71519833560274,65.07,model_2023_2023_unscaled_lasso_0.6_features_included
2023,2023,False,elasticnet,1.0,False,83.13496724759476,65.07,model_2023_2023_unscaled_elasticnet_1.0_features_included
2023,2023,False,elasticnet,0.8,False,83.54004707637156,65.07,model_2023_2023_unscaled_elasticnet_0.8_features_included
2022,2023,False,ridge,0.4,False,84.6821750729838,65.07,model_2022_2023_unscaled_ridge_0.4_features_included
2022,2023,False,ridge,0.2,False,84.71974980624229,65.07,model_2022_2023_unscaled_ridge_0.2_features_included
2022,2023,False,,,False,84.77918973115796,65.07,model_2022_2023_unscaled_none__features_included
2023,2023,False,,,False,96.05922796119387,65.07,model_2023_2023_unscaled_none__features_included
2019,2023,False,lasso,1.0,False,69.6314825477939,64.71,model_2019_2023_unscaled_lasso_1.0_features_included
2019,2023,False,lasso,0.8,False,69.71611582352676,64.71,model_2019_2023_unscaled_lasso_0.8_features_included
2019,2023,False,lasso,0.2,False,70.2281289266776,64.71,model_2019_2023_unscaled_lasso_0.2_features_included
2014,2023,True,elasticnet,0.4,False,78.64504001424959,64.71,model_2014_2023_scaled_elasticnet_0.4_features_included
2014,2023,False,lasso,0.4,False,78.88347735649232,64.71,model_2014_2023_unscaled_lasso_0.4_features_included
2014,2023,False,lasso,1.0,False,78.94902763059557,64.71,model_2014_2023_unscaled_lasso_1.0_features_included
2014,2023,False,lasso,0.8,False,78.95446845378176,64.71,model_2014_2023_unscaled_lasso_0.8_features_included
2014,2023,False,elasticnet,0.8,False,78.96331677970552,64.71,model_2014_2023_unscaled_elasticnet_0.8_features_included
2014,2023,False,elasticnet,1.0,False,79.00695068599121,64.71,model_2014_2023_unscaled_elasticnet_1.0_features_included
2022,2023,False,lasso,1.0,False,80.2684234378183,64.71,model_2022_2023_unscaled_lasso_1.0_features_included
2022,2023,False,lasso,0.8,False,80.50752826859421,64.71,model_2022_2023_unscaled_lasso_0.8_features_included
2023,2023,True,elasticnet,0.6,False,80.53117571152222,64.71,model_2023_2023_scaled_elasticnet_0.6_features_included
2022,2023,False,lasso,0.6,False,80.8438953708578,64.71,model_2022_2023_unscaled_lasso_0.6_features_included
2022,2023,False,elasticnet,1.0,False,81.0394129730836,64.71,model_2022_2023_unscaled_elasticnet_1.0_features_included
2023,2023,False,lasso,1.0,False,81.88672827394711,64.71,model_2023_2023_unscaled_lasso_1.0_features_included
2022,2023,False,lasso,0.2,False,82.44843952305911,64.71,model_2022_2023_unscaled_lasso_0.2_features_included
2022,2023,False,elasticnet,0.2,False,82.7206577099744,64.71,model_2022_2023_unscaled_elasticnet_0.2_features_included
2023,2023,False,elasticnet,0.6,False,84.00661377774327,64.71,model_2023_2023_unscaled_elasticnet_0.6_features_included
2023,2023,False,ridge,0.2,False,92.04709344866235,64.71,model_2023_2023_unscaled_ridge_0.2_features_included
2019,2023,True,lasso,0.4,False,68.89161837581463,64.34,model_2019_2023_scaled_lasso_0.4_features_included
2019,2023,False,elasticnet,0.8,False,69.94175245112028,64.34,model_2019_2023_unscaled_elasticnet_0.8_features_included
2019,2023,False,lasso,0.4,False,69.94728585738541,64.34,model_2019_2023_unscaled_lasso_0.4_features_included
2019,2023,False,elasticnet,0.6,False,70.03211259768597,64.34,model_2019_2023_unscaled_elasticnet_0.6_features_included
2014,2023,True,elasticnet,0.2,False,78.71023951516096,64.34,model_2014_2023_scaled_elasticnet_0.2_features_included
2023,2023,True,lasso,0.6,False,79.28188907099953,64.34,model_2023_2023_scaled_lasso_0.6_features_included
2023,2023,True,elasticnet,0.8,False,80.38860272061444,64.34,model_2023_2023_scaled_elasticnet_0.8_features_included
2022,2023,False,elasticnet,0.6,False,81.55257881329347,64.34,model_2022_2023_unscaled_elasticnet_0.6_features_included
2023,2023,False,ridge,1.0,False,89.45282069493881,64.34,model_2023_2023_unscaled_ridge_1.0_features_included
2023,2023,False,ridge,0.8,False,89.7537838756122,64.34,model_2023_2023_unscaled_ridge_0.8_features_included
2023,2023,False,ridge,0.4,False,90.82262150181286,64.34,model_2023_2023_unscaled_ridge_0.4_features_included
2019,2023,True,elasticnet,0.4,False,69.23811480113545,63.97,model_2019_2023_scaled_elasticnet_0.4_features_included
2019,2023,True,elasticnet,0.6,False,69.24244317499267,63.97,model_2019_2023_scaled_elasticnet_0.6_features_included
2019,2023,True,elasticnet,0.2,False,69.33979871724584,63.97,model_2019_2023_scaled_elasticnet_0.2_features_included
2019,2023,True,elasticnet,0.8,False,69.35788002544683,63.97,model_2019_2023_scaled_elasticnet_0.8_features_included
2019,2023,True,elasticnet,1.0,False,69.58617413899512,63.97,model_2019_2023_scaled_elasticnet_1.0_features_included
2019,2023,False,lasso,0.6,False,69.80011004219391,63.97,model_2019_2023_unscaled_lasso_0.6_features_included
2019,2023,False,elasticnet,1.0,False,69.8521637350446,63.97,model_2019_2023_unscaled_elasticnet_1.0_features_included
2019,2023,False,elasticnet,0.4,False,70.17859144840327,63.97,model_2019_2023_unscaled_elasticnet_0.4_features_included
2019,2023,False,elasticnet,0.2,False,70.43600941930951,63.97,model_2019_2023_unscaled_elasticnet_0.2_features_included
2014,2023,True,elasticnet,0.6,False,78.73180914636272,63.97,model_2014_2023_scaled_elasticnet_0.6_features_included
2014,2023,False,elasticnet,0.6,False,78.91154243522702,63.97,model_2014_2023_unscaled_elasticnet_0.6_features_included
2014,2023,True,elasticnet,0.8,False,78.94776581566133,63.97,model_2014_2023_scaled_elasticnet_0.8_features_included
2014,2023,True,elasticnet,1.0,False,79.2473082338654,63.97,model_2014_2023_scaled_elasticnet_1.0_features_included
2023,2023,True,lasso,1.0,False,79.58797907473146,63.97,model_2023_2023_scaled_lasso_1.0_features_included
2022,2023,False,elasticnet,0.8,False,81.25262034832875,63.97,model_2022_2023_unscaled_elasticnet_0.8_features_included
2022,2023,True,elasticnet,0.8,False,81.28122854542046,63.97,model_2022_2023_scaled_elasticnet_0.8_features_included
2022,2023,True,elasticnet,1.0,False,81.57533090944462,63.97,model_2022_2023_scaled_elasticnet_1.0_features_included
2023,2023,False,ridge,0.6,False,90.17327719530438,63.97,model_2023_2023_unscaled_ridge_0.6_features_included
2019,2023,True,lasso,0.2,False,68.99026284839519,63.6,model_2019_2023_scaled_lasso_0.2_features_included
2023,2023,True,lasso,0.4,False,79.59737560879762,63.6,model_2023_2023_scaled_lasso_0.4_features_included
2023,2023,True,elasticnet,1.0,False,80.38368039608001,63.6,model_2023_2023_scaled_elasticnet_1.0_features_included
2022,2023,True,elasticnet,0.6,False,81.14620720623847,63.6,model_2022_2023_scaled_elasticnet_0.6_features_included
2022,2023,True,,,False,84.77918973115787,63.6,model_2022_2023_scaled_none__features_included
2019,2023,True,lasso,0.6,False,69.03259128659245,63.24,model_2019_2023_scaled_lasso_0.6_features_included
2023,2023,True,lasso,0.8,False,79.28263838868065,63.24,model_2023_2023_scaled_lasso_0.8_features_included
2022,2023,True,elasticnet,0.4,False,81.15785620376423,63.24,model_2022_2023_scaled_elasticnet_0.4_features_included
2022,2023,True,ridge,0.2,False,84.68177741944723,63.24,model_2022_2023_scaled_ridge_0.2_features_included
2019,2023,True,lasso,0.8,False,69.39703243595775,62.87,model_2019_2023_scaled_lasso_0.8_features_included
2019,2023,True,lasso,1.0,False,69.91406432775628,62.87,model_2019_2023_scaled_lasso_1.0_features_included
2023,2023,True,lasso,0.2,False,80.82294767433599,62.87,model_2023_2023_scaled_lasso_0.2_features_included
2022,2023,True,elasticnet,0.2,False,81.41397054203075,62.87,model_2022_2023_scaled_elasticnet_0.2_features_included
2022,2023,True,ridge,0.4,False,84.6110060421147,62.87,model_2022_2023_scaled_ridge_0.4_features_included
2022,2023,True,ridge,0.6,False,84.55406341718961,62.5,model_2022_2023_scaled_ridge_0.6_features_included
2022,2023,True,ridge,1.0,False,84.46520012461491,62.13,model_2022_2023_scaled_ridge_1.0_features_included
2022,2023,True,ridge,0.8,False,84.50629610255807,62.13,model_2022_2023_scaled_ridge_0.8_features_included
2022,2023,True,lasso,0.4,False,80.6274398172297,61.76,model_2022_2023_scaled_lasso_0.4_features_included
2022,2023,True,lasso,0.6,False,80.73137882006749,61.76,model_2022_2023_scaled_lasso_0.6_features_included
2022,2023,True,lasso,0.8,False,81.04319286987158,61.76,model_2022_2023_scaled_lasso_0.8_features_included
2022,2023,True,lasso,1.0,False,81.73136795265303,61.76,model_2022_2023_scaled_lasso_1.0_features_included
2022,2023,True,lasso,0.2,False,80.93400821976412,61.4,model_2022_2023_scaled_lasso_0.2_features_included
2014,2023,True,lasso,0.4,False,78.00293906461808,61.03,model_2014_2023_scaled_lasso_0.4_features_included
2014,2023,True,lasso,0.2,False,78.14838850355746,61.03,model_2014_2023_scaled_lasso_0.2_features_included
2014,2023,True,lasso,0.6,False,78.18036550806512,61.03,model_2014_2023_scaled_lasso_0.6_features_included
2014,2023,True,lasso,0.8,False,78.55423365002616,61.03,model_2014_2023_scaled_lasso_0.8_features_included
2014,2023,True,lasso,1.0,False,79.15093831112574,61.03,model_2014_2023_scaled_lasso_1.0_features_included
2019,2023,True,ridge,1.0,False,71.4154330944683,50.74,model_2019_2023_scaled_ridge_1.0_features_included
2019,2023,True,ridge,0.8,False,71.4514860342195,50.37,model_2019_2023_scaled_ridge_0.8_features_included
2019,2023,True,ridge,0.6,False,71.49113612517972,50.37,model_2019_2023_scaled_ridge_0.6_features_included
2019,2023,True,ridge,0.4,False,71.53540317607558,50.37,model_2019_2023_scaled_ridge_0.4_features_included
2019,2023,True,ridge,0.2,False,71.5859844493504,50.37,model_2019_2023_scaled_ridge_0.2_features_included
2019,2023,True,,,False,72.89375476715588,50.37,model_2019_2023_scaled_none__features_included
2023,2023,True,,,False,97.02810485133588,48.16,model_2023_2023_scaled_none__features_included
2023,2023,True,ridge,1.0,False,88.13251329199232,47.43,model_2023_2023_scaled_ridge_1.0_features_included
2023,2023,True,ridge,0.8,False,88.4317537723159,46.69,model_2023_2023_scaled_ridge_0.8_features_included
2023,2023,True,ridge,0.2,False,90.95801704782016,46.69,model_2023_2023_scaled_ridge_0.2_features_included
2023,2023,True,ridge,0.4,False,89.56306002332366,45.96,model_2023_2023_scaled_ridge_0.4_features_included
2023,2023,True,ridge,0.6,False,88.86371846745902,45.22,model_2023_2023_scaled_ridge_0.6_features_included
2014,2023,True,ridge,1.0,False,79.09207463902102,41.54,model_2014_2023_scaled_ridge_1.0_features_included
2014,2023,True,ridge,0.8,False,79.0954021565667,41.54,model_2014_2023_scaled_ridge_0.8_features_included
2014,2023,True,ridge,0.6,False,79.09913419734752,41.54,model_2014_2023_scaled_ridge_0.6_features_included
2014,2023,True,ridge,0.4,False,79.10335351175067,41.54,model_2014_2023_scaled_ridge_0.4_features_included
2014,2023,True,ridge,0.2,False,79.10816832858416,41.54,model_2014_2023_scaled_ridge_0.2_features_included
2014,2023,True,,,False,79.0891218058588,40.81,model_2014_2023_scaled_none__features_included
