#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
1,Rams,,296,347,548,63.3,3051,5.6,8.8,17,14,170,53,350,78
2,Commanders,,329,330,529,62.4,3068,5.8,9.3,21,16,161,47,325,79
3,Steelers,,312,298,526,56.7,3110,5.9,10.4,22,18,163,56,384,74
4,49ers,,390,341,537,63.5,3327,6.2,9.8,25,12,176,30,199,87
5,Saints,,337,333,557,59.8,3472,6.2,10.4,28,18,185,45,287,81
6,Ravens,,303,380,596,63.8,3536,5.9,9.3,22,10,213,39,272,85
7,Packers,,369,346,536,64.6,3539,6.6,10.2,23,11,184,41,254,89
8,Patriots,,353,333,494,67.4,3557,7.2,10.7,22,18,187,24,165,88
9,Chargers,,426,340,543,62.6,3578,6.6,10.5,29,12,186,27,137,90
10,Cardinals,,367,365,570,64,3623,6.4,9.9,26,11,207,48,326,89
11,Cowboys,,473,328,513,63.9,3642,7.1,11.1,34,10,180,31,178,99
12,Bears,,370,350,547,64,3705,6.8,10.6,28,10,190,35,234,93
13,Bills,,375,369,573,64.4,3726,6.5,10.1,23,15,199,38,220,85
14,Chiefs,,362,349,557,62.7,3779,6.8,10.8,29,16,202,32,189,88
15,Eagles,,418,364,530,68.7,3798,7.2,10.4,27,8,209,49,324,100
16,Broncos,,446,374,567,66,3807,6.7,10.2,21,10,201,42,282,90
17,Giants,,357,388,574,67.6,3807,6.6,9.8,22,11,215,40,322,91
18,Panthers,,402,398,585,68,3825,6.5,9.6,28,7,211,29,199,97
19,Bengals,,424,340,541,62.8,3859,7.1,11.4,32,11,192,17,83,95
20,Colts,,362,369,562,65.7,3866,6.9,10.5,24,15,203,40,261,89
21,Buccaneers,,355,426,617,69,3945,6.4,9.3,29,15,215,48,366,92
22,Browns,,419,371,585,63.4,3962,6.8,10.7,31,11,214,38,262,93
23,Dolphins,,338,343,545,62.9,4024,7.4,11.7,21,18,193,41,349,84
24,Texans,,464,377,541,69.7,4104,7.6,10.9,30,3,222,34,221,108
25,Vikings,,475,358,541,66.2,4141,7.7,11.6,30,15,208,23,126,96
26,Raiders,,478,370,580,63.8,4212,7.3,11.4,28,10,223,21,129,94
27,Jaguars,,492,370,533,69.4,4231,7.9,11.4,34,12,210,18,91,105
28,Jets,,457,418,605,69.1,4409,7.3,10.5,34,10,235,31,186,102
29,Titans,,439,423,630,67.1,4439,7,10.5,36,15,247,19,154,97
30,Lions,,519,383,557,68.8,4558,8.2,11.9,38,7,253,24,195,111
31,Seahawks,,371,450,674,66.8,4560,6.8,10.1,23,14,253,46,251,89
32,Falcons,,414,425,625,68,4697,7.5,11.1,34,12,239,29,221,100
