#,TEAM,PTS/G,TOTAL PTS,ATT,YDS,YDS/ATT,TD,1ST,TOP
,,21.2,340,524,2672,5.1,20,133,29:14
2,Steelers,23.2,372,618,2464,4,16,134,34:59
3,Jets,20.8,333,527,2388,4.5,15,135,32:29
4,Broncos,23.8,381,534,2333,4.4,13,127,33:37
5,Chiefs,30.2,483,496,2289,4.6,31,138,32:14
6,Chargers,27.9,446,525,2185,4.2,24,131,32:35
7,Patriots,27.3,437,524,2134,4.1,15,120,31:22
8,Seahawks,23.2,371,468,2095,4.5,17,110,29:06
9,Ravens,19.8,317,491,2063,4.2,11,103,30:50
10,Packers,26.5,424,441,1908,4.3,9,98,30:28
11,Giants,18.9,303,424,1904,4.5,18,105,29:52
12,Texans,19.3,309,481,1882,3.9,16,103,30:13
13,Bills,24.7,395,483,1874,3.9,15,102,30:21
14,Titans,21.5,344,420,1871,4.5,12,85,32:46
15,Colts,32.6,522,427,1852,4.3,10,94,29:45
16,Jaguars,16.3,261,446,1850,4.1,9,88,31:39
17,Bengals,23.4,374,437,1839,4.2,14,93,29:20
18,Vikings,25.3,405,387,1823,4.7,8,98,30:17
19,Lions,18.5,296,407,1777,4.4,7,92,28:13
20,Cowboys,18.3,293,449,1769,3.9,14,101,31:37
21,Commanders,15,240,471,1765,3.7,6,91,31:19
22,Cardinals,17.8,284,475,1668,3.5,15,86,31:12
23,Browns,17.2,276,441,1657,3.8,6,94,28:21
24,Eagles,24.1,386,376,1639,4.4,10,87,29:43
25,Bears,14.4,231,430,1624,3.8,10,84,28:26
26,Rams,19.9,319,381,1624,4.3,11,96,32:48
27,Saints,21.8,348,406,1606,4,15,82,28:30
28,Panthers,22.2,355,422,1582,3.7,10,85,30:00
29,Buccaneers,18.8,301,393,1489,3.8,9,74,30:43
30,49ers,16.2,259,413,1449,3.5,10,83,29:18
31,Dolphins,17.2,275,384,1339,3.5,10,71,28:20
32,Raiders,20,320,327,1295,4,10,75,27:47
