#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Colts,32.6,522,353,527,67,4623,8.8,13.1,51,10,238,14,,119
2,Vikings,25.3,405,380,552,68.8,4516,8.2,11.9,39,12,225,46,,108
3,Packers,26.5,424,382,598,63.9,4449,7.4,11.6,36,19,228,14,,93
4,Chiefs,30.2,483,370,561,66,4406,7.9,11.9,27,17,228,32,,93
5,Rams,19.9,319,372,580,64.1,4253,7.3,11.4,23,22,203,50,,84
6,Broncos,23.8,381,303,521,58.2,3999,7.7,13.2,27,20,184,15,,84
7,Eagles,24.1,386,336,547,61.4,3979,7.3,11.8,32,11,188,37,,95
8,Raiders,20,320,330,582,56.7,3858,6.6,11.7,24,22,176,30,,75
9,Panthers,22.2,355,311,536,58,3643,6.8,11.7,29,15,192,33,,85
10,Titans,21.5,344,356,589,60.4,3616,6.1,10.2,27,19,200,44,,80
11,Patriots,27.3,437,293,485,60.4,3588,7.4,12.2,29,14,193,26,,91
12,Saints,21.8,348,309,542,57,3587,6.6,11.6,21,16,177,41,,78
13,Seahawks,23.2,371,304,532,57.1,3539,6.7,11.6,23,18,189,34,,78
14,Buccaneers,18.8,301,340,512,66.4,3474,6.8,10.2,24,18,175,44,,87
15,Cowboys,18.3,293,308,519,59.3,3428,6.6,11.1,19,23,171,36,,73
16,Chargers,27.9,446,288,450,64,3357,7.5,11.7,29,8,160,21,,101
17,Bengals,23.4,374,324,536,60.4,3301,6.2,10.2,23,22,172,31,,75
18,Texans,19.3,309,286,471,60.7,3246,6.9,11.3,16,14,174,49,,80
19,Jaguars,16.3,261,305,513,59.5,3159,6.2,10.4,17,11,161,32,,79
20,49ers,16.2,259,325,561,57.9,3136,5.6,9.6,16,21,172,52,,68
21,Dolphins,17.2,275,309,586,52.7,3065,5.2,9.9,19,26,165,52,,60
22,Jets,20.8,333,282,438,64.4,3050,7,10.8,19,11,163,31,,89
23,Lions,18.5,296,285,505,56.4,2916,5.8,10.2,19,13,142,37,,75
24,Cardinals,17.8,284,299,533,56.1,2882,5.4,9.6,14,18,152,39,,66
25,Browns,17.2,276,251,439,57.2,2824,6.4,11.3,21,21,125,41,,73
26,Giants,18.9,303,269,475,56.6,2818,5.9,10.5,12,13,143,52,,71
27,Bills,24.7,395,262,461,56.8,2817,6.1,10.8,21,17,149,38,,75
28,Steelers,23.2,372,228,358,63.7,2720,7.6,11.9,20,13,147,36,,90
29,Commanders,15,240,288,514,56,2632,5.1,9.1,18,17,156,38,,68
30,Falcons,21.2,340,217,395,54.9,2412,6.1,11.1,15,16,120,50,,69
31,Ravens,19.8,317,258,465,55.5,2312,5,9,13,11,135,35,,68
32,Bears,14.4,231,249,471,52.9,2192,4.7,8.8,9,16,121,66,,58
