#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
1,Colts,27.9,447,381,569,67,4179,7.3,11,29,10,212,19,,98
2,Chiefs,30.2,484,339,536,63.2,3981,7.4,11.7,24,12,201,21,,91
3,Rams,27.9,447,377,600,62.8,3961,6.6,10.5,23,23,211,43,,79
4,Vikings,26,416,333,520,64,3951,7.6,11.9,32,13,194,42,,97
5,Titans,27.2,435,315,502,62.7,3878,7.7,12.3,30,9,211,25,,99
6,Buccaneers,18.8,301,369,592,62.3,3805,6.4,10.3,27,22,190,23,,81
7,Seahawks,25.2,404,317,521,60.8,3618,6.9,11.4,27,16,190,43,,86
8,Saints,21.2,340,314,535,58.7,3438,6.4,10.9,25,8,177,36,,87
9,Patriots,21.8,348,320,537,59.6,3432,6.4,10.7,23,13,177,32,,83
10,49ers,24,384,299,511,58.5,3408,6.7,11.4,25,15,172,28,,83
11,Giants,15.2,243,344,616,55.8,3383,5.5,9.8,16,20,184,44,,67
12,Bengals,21.6,346,324,520,62.3,3342,6.4,10.3,26,15,181,37,,85
13,Jets,17.7,283,312,496,62.9,3316,6.7,10.6,20,14,181,31,,84
14,Steelers,18.8,300,306,532,57.5,3304,6.2,10.8,19,17,174,42,,74
15,Jaguars,17.2,276,303,515,58.8,3285,6.4,10.8,17,17,163,28,,75
16,Packers,27.6,442,310,473,65.5,3240,6.8,10.5,32,21,166,19,,89
17,Cowboys,18.1,289,294,510,57.6,3162,6.2,10.8,17,21,149,37,,70
18,Panthers,20.3,325,270,460,58.7,3050,6.6,11.3,19,16,146,26,,78
19,Chargers,19.6,313,297,525,56.6,3021,5.8,10.2,21,19,146,29,,71
20,Eagles,23.4,374,279,484,57.6,3020,6.2,10.8,17,11,156,43,,78
21,Commanders,17.9,287,283,527,53.7,3006,5.7,10.6,21,16,156,43,,71
22,Broncos,23.8,381,280,479,58.5,2969,6.2,10.6,19,18,162,25,,74
23,Cardinals,14.1,225,303,534,56.7,2959,5.5,9.8,18,22,147,44,,67
24,Lions,16.9,270,319,588,54.3,2924,5,9.2,17,24,152,11,,61
25,Browns,15.9,254,313,509,61.5,2834,5.6,9.1,17,18,153,40,,73
26,Dolphins,19.4,311,257,450,57.1,2792,6.2,10.9,17,19,145,31,,71
27,Raiders,16.9,270,278,521,53.4,2751,5.3,9.9,9,14,140,43,,63
28,Bills,15.2,243,293,502,58.4,2684,5.3,9.2,11,17,150,51,,66
29,Texans,15.9,255,248,439,56.5,2655,6,10.7,14,18,127,36,,68
30,Bears,17.7,283,271,515,52.6,2617,5.1,9.7,12,20,143,43,,59
31,Falcons,18.7,299,230,460,50,2408,5.2,10.5,14,21,127,35,,57
32,Ravens,24.4,391,217,415,52.3,2255,5.4,10.4,16,19,121,42,,62
