#,TEAM,PTS/G,TOTAL PTS,ATT,YDS,YDS/ATT,TD,1ST,TOP
1,Ravens,24.4,391,552,2674,4.8,18,115,31:48
2,Broncos,23.8,381,543,2629,4.8,20,133,34:04
3,Packers,27.6,442,507,2558,5,18,127,31:04
4,Vikings,26,416,493,2343,4.8,15,124,33:52
5,49ers,24,384,499,2279,4.6,16,118,31:09
6,Chargers,19.6,313,417,2146,5.1,16,117,28:09
7,Panthers,20.3,325,522,2091,4,9,114,31:11
8,Jaguars,17.2,276,481,2073,4.3,13,118,30:09
9,Eagles,23.4,374,417,2015,4.8,23,105,28:19
10,Seahawks,25.2,404,453,2009,4.4,17,121,29:48
11,Saints,21.2,340,448,2000,4.5,11,100,31:35
12,Cowboys,18.1,289,515,1999,3.9,11,115,33:53
13,Bengals,21.6,346,481,1987,4.1,12,101,31:59
14,Falcons,18.7,299,435,1949,4.5,17,99,28:47
15,Chiefs,30.2,484,446,1929,4.3,32,120,30:35
16,Raiders,16.9,270,423,1822,4.3,15,98,28:08
17,Dolphins,19.4,311,487,1817,3.7,14,99,30:17
18,Bears,17.7,283,443,1763,4,13,104,30:39
19,Colts,27.9,447,453,1695,3.7,16,104,31:27
20,Browns,15.9,254,412,1670,4.1,8,91,30:31
21,Bills,15.2,243,427,1664,3.9,13,96,30:47
22,Commanders,17.9,287,421,1653,3.9,8,95,29:52
23,Texans,15.9,255,421,1651,3.9,14,86,28:03
24,Buccaneers,18.8,301,421,1648,3.9,5,86,32:20
25,Jets,17.7,283,409,1635,4,8,78,28:27
26,Titans,27.2,435,486,1623,3.3,12,84,33:52
27,Patriots,21.8,348,473,1607,3.4,9,91,32:35
28,Giants,15.2,243,387,1559,4,6,90,29:53
29,Cardinals,14.1,225,403,1531,3.8,5,80,30:58
30,Rams,27.9,447,411,1496,3.6,19,97,32:06
31,Steelers,18.8,300,446,1488,3.3,10,77,31:49
32,Lions,16.9,270,376,1338,3.6,5,69,28:21
