#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Jets,,236,259,501,51.7,2459,4.9,9.5,8,17,128,32,245,57
2,Bills,,326,295,519,56.8,2948,5.7,10,14,28,157,32,189,60
3,Broncos,,324,298,510,58.4,2981,5.8,10,18,17,167,39,241,73
4,Panthers,,308,305,495,61.6,3056,6.2,10,14,22,155,31,193,70
5,Packers,,297,294,540,54.4,3218,6,10.9,29,30,168,37,232,67
6,Bengals,,291,318,547,58.1,3249,5.9,10.2,18,19,165,34,237,72
7,Raiders,,379,259,438,59.1,3303,7.5,12.8,16,8,158,37,228,87
8,Ravens,,261,306,524,58.4,3316,6.3,10.8,17,22,164,32,190,70
9,Commanders,,336,314,511,61.4,3316,6.5,10.6,19,11,176,40,241,84
10,Buccaneers,,400,301,482,62.4,3318,6.9,11,28,19,171,28,166,86
11,Chargers,,320,326,534,61,3348,6.3,10.3,23,14,177,35,221,83
12,Patriots,,285,300,512,58.6,3355,6.6,11.2,25,18,193,31,229,80
13,Bears,,375,341,531,64.2,3382,6.4,9.9,29,13,186,35,272,90
14,Colts,,307,372,583,63.8,3403,5.8,9.1,19,16,203,34,228,79
15,Giants,,427,314,498,63.1,3425,6.9,10.9,31,13,182,32,237,93
16,Steelers,,324,319,548,58.2,3447,6.3,10.8,22,12,186,47,314,81
17,Eagles,,337,354,580,61,3462,6,9.8,27,25,179,44,316,75
18,Texans,,333,344,548,62.8,3487,6.4,10.1,19,14,175,30,187,82
19,Vikings,,312,341,535,63.7,3494,6.5,10.2,26,11,183,48,318,90
20,Cowboys,,250,344,572,60.1,3606,6.3,10.5,19,11,186,42,268,82
21,49ers,,281,352,580,60.7,3670,6.3,10.4,14,18,176,44,293,74
22,Chiefs,,424,302,509,59.3,3707,7.3,12.3,25,15,178,22,137,86
23,Cardinals,,325,346,593,58.3,3739,6.3,10.8,22,21,188,43,259,75
24,Dolphins,,390,281,489,57.5,3754,7.7,13.4,23,15,184,44,242,85
25,Rams,,436,315,491,64.2,3764,7.7,11.9,22,8,182,25,149,96
26,Saints,,341,330,574,57.5,3769,6.6,11.4,15,26,175,35,192,67
27,Jaguars,,380,345,510,67.6,3774,7.4,10.9,28,15,191,14,79,95
28,Falcons,,325,335,536,62.5,3871,7.2,11.6,25,15,197,28,170,88
29,Browns,,375,313,526,59.5,3915,7.4,12.5,22,10,189,40,234,89
30,Seahawks,,390,374,568,65.8,3927,6.9,10.5,27,13,204,28,185,92
31,Titans,,402,404,604,66.9,4139,6.9,10.2,31,20,210,32,224,90
32,Lions,,494,371,545,68.1,4249,7.8,11.5,35,9,213,26,150,106
